"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"467620","2020-02-21 00:00:00","324.000","20.000","6.100","19.300","0.800","988.100","0.000","15.000","40.000","2359.000","6.100","20.000","2400.000","0.000","22.300","1414.000","16.800","215.000","9.400","-99.000"
"467650","2020-02-21 00:00:00","1014.800","310.000","0.900","12.300","0.840","-99.000","0.000","1.400","310.000","2400.000","0.900","360.000","2301.000","0.000","20.600","1315.000","9.200","527.000","9.400","-99.000"
"467410","2020-02-21 00:00:00","13.800","360.000","3.000","18.000","0.800","1022.700","0.000","4.600","360.000","2353.000","3.000","360.000","2359.000","0.000","24.200","1243.000","14.700","524.000","9.900","-99.000"
"466940","2020-02-21 00:00:00","26.700","350.000","0.300","17.500","0.870","1023.300","1.000","1.800","10.000","2319.000","0.800","20.000","2308.000","0.000","21.800","904.000","13.300","143.000","2.700","-99.000"
"A2K570","2020-02-21 00:00:00","90.000","0.000","0.000","13.800","0.990","-99.000","0.000","1.300","120.000","2338.000","1.100","130.000","2346.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467610","2020-02-21 00:00:00","33.300","340.000","3.400","19.200","0.760","1022.500","-99.000","5.200","30.000","2304.000","3.500","20.000","2308.000","0.000","22.200","1316.000","16.700","708.000","0.400","-99.000"
"467300","2020-02-21 00:00:00","44.500","10.000","9.300","20.100","0.820","1020.500","0.000","12.300","20.000","2358.000","9.400","10.000","2353.000","-99.000","21.900","952.000","18.100","501.000","6.700","-99.000"
"A0C540","2020-02-21 00:00:00","1374.000","100.000","1.900","9.400","0.900","-99.000","0.000","7.000","90.000","2306.000","3.700","100.000","2315.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"468100","2020-02-21 00:00:00","4.000","70.000","6.600","22.500","0.700","1023.700","0.000","12.400","60.000","2344.000","7.100","70.000","2348.000","-99.000","24.400","1149.000","20.800","352.000","-99.000","-99.000"
"467440","2020-02-21 00:00:00","2.300","30.000","1.300","19.800","0.740","1025.000","0.000","4.000","360.000","2301.000","2.800","350.000","2306.000","0.000","24.900","1326.000","16.900","631.000","9.200","-99.000"
"A0G720","2020-02-21 00:00:00","37.000","300.000","0.800","16.100","0.930","-99.000","0.000","2.000","320.000","-99.000","1.000","310.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"469020","2020-02-21 00:00:00","4.500","30.000","6.700","27.100","0.740","1014.000","0.000","14.100","40.000","2354.000","6.800","30.000","2317.000","-99.000","28.300","1138.000","26.500","202.000","-99.000","-99.000"
"466910","2020-02-21 00:00:00","832.600","180.000","3.700","12.500","0.970","-99.000","14.500","12.900","150.000","2355.000","3.900","180.000","2356.000","0.000","14.800","1040.000","8.800","22.000","0.500","-99.000"
"A0A9M0","2020-02-21 00:00:00","24.058","110.000","0.600","16.300","0.850","1023.800","0.000","6.300","70.000","2302.000","3.800","70.000","2311.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467080","2020-02-21 00:00:00","7.400","250.000","1.600","17.600","0.860","1026.400","1.500","3.800","220.000","2338.000","2.200","230.000","2337.000","0.000","22.200","1043.000","13.700","407.000","1.600","-99.000"
"467540","2020-02-21 00:00:00","8.100","10.000","4.100","21.500","0.600","1024.900","0.000","9.100","40.000","2318.000","4.400","20.000","2322.000","-99.000","23.800","1121.000","15.900","302.000","2.400","-99.000"
"467480","2020-02-21 00:00:00","26.900","290.000","0.800","16.700","0.900","1022.300","0.000","1.700","280.000","2352.000","0.800","300.000","2357.000","0.000","24.200","1306.000","12.600","632.000","9.000","-99.000"
"467060","2020-02-21 00:00:00","24.900","250.000","1.300","17.000","0.940","1023.700","0.000","4.300","260.000","2321.000","2.800","280.000","2315.000","-99.000","20.900","1031.000","13.800","513.000","0.400","-99.000"
"D2F230","2020-02-21 00:00:00","1734.000","50.000","0.300","4.000","0.960","-99.000","0.000","1.100","30.000","2335.000","0.600","50.000","2334.000","-99.000","18.600","1220.000","1.800","523.000","-99.000","-99.000"
"466930","2020-02-21 00:00:00","607.100","60.000","1.700","14.000","0.870","956.300","11.000","7.400","110.000","2355.000","2.200","70.000","2348.000","-99.000","17.300","1053.000","10.900","134.000","2.000","-99.000"
"467590","2020-02-21 00:00:00","22.300","50.000","2.200","21.100","0.770","1022.300","0.000","8.900","100.000","2306.000","4.500","50.000","2307.000","0.000","24.100","1136.000","17.200","518.000","5.800","-99.000"
"CAAH60","2020-02-21 00:00:00","18.000","30.000","0.400","17.300","0.860","-99.000","0.000","2.900","140.000","2316.000","0.800","90.000","2323.000","-99.000","22.700","1041.000","12.300","329.000","-99.000","-99.000"
"467550","2020-02-21 00:00:00","3844.800","250.000","4.700","0.500","0.090","-99.000","0.000","12.300","270.000","2301.000","7.800","260.000","2325.000","0.000","8.700","1225.000","-4.600","543.000","11.400","-99.000"
"A0K420","2020-02-21 00:00:00","22.000","20.000","4.800","18.600","0.850","-99.000","0.000","9.000","30.000","2308.000","5.900","20.000","2321.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467660","2020-02-21 00:00:00","9.000","330.000","1.600","19.100","0.760","1026.000","0.000","4.700","10.000","2354.000","1.600","330.000","2349.000","0.000","23.500","1428.000","17.100","512.000","0.900","-99.000"
"466920","2020-02-21 00:00:00","6.255","90.000","4.300","18.000","0.870","1022.500","0.000","8.700","100.000","2325.000","4.700","100.000","2304.000","0.000","24.100","1123.000","14.500","213.000","5.200","-99.000"
"A0W080","2020-02-21 00:00:00","3.000","20.000","10.000","17.800","0.830","-99.000","0.000","15.200","50.000","2350.000","10.400","20.000","2356.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467110","2020-02-21 00:00:00","48.000","60.000","3.500","14.100","0.620","1025.200","0.000","7.700","50.000","2341.000","3.900","50.000","2315.000","0.000","22.200","1414.000","10.100","507.000","9.300","-99.000"
"A0W030","2020-02-21 00:00:00","6.000","30.000","2.000","14.300","0.660","-99.000","0.000","6.600","10.000","2320.000","2.800","20.000","2324.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467050","2020-02-21 00:00:00","20.600","50.000","4.700","17.100","0.930","1023.800","0.000","10.200","40.000","2309.000","6.100","50.000","2301.000","0.000","19.800","1157.000","12.300","227.000","0.000","-99.000"
"A0Z080","2020-02-21 00:00:00","3171.000","270.000","4.400","1.600","0.410","-99.000","0.000","10.500","30.000","2337.000","6.300","270.000","2340.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"A0T780","2020-02-21 00:00:00","83.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467420","2020-02-21 00:00:00","8.100","350.000","2.000","-99.000","-99.000","1024.200","0.000","3.800","340.000","2359.000","2.000","350.000","2346.000","-99.000","-99.000","-99.000","-99.000","-99.000","9.600","-99.000"
"467530","2020-02-21 00:00:00","2413.400","170.000","1.000","4.400","0.770","-99.000","0.000","1.800","160.000","2343.000","1.300","170.000","2343.000","-99.000","10.900","1031.000","1.600","229.000","7.600","-99.000"
"467770","2020-02-21 00:00:00","7.200","10.000","2.700","16.300","0.870","1022.700","0.000","4.300","20.000","2353.000","2.900","30.000","2353.000","-99.000","20.400","1219.000","14.200","28.000","8.200","-99.000"
"466950","2020-02-21 00:00:00","99.000","60.000","8.000","17.400","0.850","1015.800","7.500","13.600","60.000","2303.000","9.300","60.000","2315.000","-99.000","19.200","731.000","16.400","514.000","0.000","-99.000"
"466880","2020-02-21 00:00:00","11.000","70.000","2.400","18.100","0.870","1024.700","0.000","6.700","70.000","2341.000","4.000","60.000","2301.000","-99.000","23.300","1136.000","12.700","340.000","3.800","-99.000"
"467350","2020-02-21 00:00:00","10.700","10.000","5.500","18.200","0.900","1024.900","0.000","10.500","20.000","2359.000","5.500","10.000","2340.000","0.000","22.200","1248.000","15.600","431.000","6.700","-99.000"
"A0W100","2020-02-21 00:00:00","2.000","30.000","4.300","15.400","0.610","-99.000","0.000","6.000","40.000","2307.000","5.000","30.000","2302.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467990","2020-02-21 00:00:00","97.842","360.000","3.900","12.400","0.820","1019.800","0.000","10.900","360.000","2323.000","4.600","360.000","2309.000","0.000","16.200","1209.000","10.400","4.000","6.300","-99.000"
"466900","2020-02-21 00:00:00","19.000","130.000","1.400","19.500","0.730","1023.900","0.000","5.100","130.000","2344.000","1.500","100.000","2346.000","-99.000","23.400","1054.000","13.100","302.000","3.400","-99.000"
