"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"CAL010","2020-07-21 00:00:00","46.000","170.000","2.000","24.800","0.900","-99.000","8.500","2.500","160.000","2351.000","2.000","160.000","2356.000","-99.000","34.700","1357.000","24.500","2227.000","-99.000","-99.000"
"467770","2020-07-21 00:00:00","7.200","130.000","2.000","27.200","0.770","1009.100","0.000","4.600","180.000","2313.000","2.800","150.000","2318.000","-99.000","33.200","1117.000","27.100","2149.000","9.900","-99.000"
"CAF080","2020-07-21 00:00:00","208.000","140.000","6.500","25.500","0.690","-99.000","2.500","8.600","130.000","2357.000","6.500","140.000","2358.000","-99.000","32.200","1121.000","25.300","542.000","-99.000","-99.000"
"469020","2020-07-21 00:00:00","4.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAE070","2020-07-21 00:00:00","77.000","170.000","0.800","26.000","0.820","-99.000","0.000","2.700","170.000","2304.000","1.500","160.000","2308.000","-99.000","32.500","1125.000","25.300","2238.000","-99.000","-99.000"
"CAF010","2020-07-21 00:00:00","150.000","150.000","1.300","26.200","0.860","-99.000","2.500","3.600","180.000","2343.000","2.600","170.000","2350.000","-99.000","34.200","1246.000","25.800","504.000","-99.000","-99.000"
"CAD010","2020-07-21 00:00:00","36.000","110.000","0.800","26.000","0.700","-99.000","0.000","3.100","80.000","2308.000","1.300","150.000","2301.000","-99.000","34.400","1039.000","24.000","538.000","-99.000","-99.000"
"CAE010","2020-07-21 00:00:00","266.000","170.000","1.300","23.600","0.920","-99.000","1.500","3.200","180.000","2332.000","1.500","180.000","2348.000","-99.000","33.500","1204.000","23.300","2206.000","-99.000","-99.000"
"CAF060","2020-07-21 00:00:00","117.000","150.000","4.900","26.100","0.730","-99.000","1.500","7.500","160.000","2324.000","5.500","160.000","2326.000","-99.000","32.700","1125.000","26.100","2351.000","-99.000","-99.000"
"CAE040","2020-07-21 00:00:00","97.000","230.000","0.900","25.800","0.800","-99.000","0.500","3.400","200.000","2307.000","2.000","200.000","2307.000","-99.000","34.600","1152.000","25.700","2257.000","-99.000","-99.000"
"CAE090","2020-07-21 00:00:00","89.000","160.000","4.000","26.800","0.810","-99.000","0.500","6.500","150.000","2318.000","4.500","150.000","2318.000","-99.000","32.700","1035.000","26.500","2244.000","-99.000","-99.000"
"CAE060","2020-07-21 00:00:00","28.000","160.000","2.500","26.300","0.770","-99.000","0.000","3.700","170.000","2322.000","3.000","170.000","2342.000","-99.000","33.200","1015.000","26.300","2333.000","-99.000","-99.000"
"CAAH60","2020-07-21 00:00:00","18.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"A2K570","2020-07-21 00:00:00","90.000","120.000","0.900","23.300","0.990","-99.000","17.000","2.900","130.000","2348.000","1.700","130.000","2301.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAE030","2020-07-21 00:00:00","76.000","210.000","0.500","24.800","0.710","-99.000","0.000","1.700","280.000","2319.000","0.800","260.000","2320.000","-99.000","35.600","1156.000","24.500","453.000","-99.000","-99.000"
