"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"D2F230","2020-07-25 00:00:00","1734.000","0.000","0.000","16.400","0.940","-99.000","0.000","1.100","120.000","2301.000","0.500","10.000","2335.000","-99.000","27.300","1237.000","12.000","511.000","-99.000","-99.000"
"CAF090","2020-07-25 00:00:00","130.000","220.000","0.600","28.800","0.840","-99.000","0.000","3.700","130.000","2325.000","2.200","140.000","2330.000","-99.000","34.700","1501.000","26.200","318.000","-99.000","-99.000"
"CAG050","2020-07-25 00:00:00","60.000","190.000","4.000","29.800","0.800","-99.000","0.000","8.300","210.000","2327.000","5.300","210.000","2343.000","-99.000","34.500","1434.000","26.200","405.000","-99.000","-99.000"
"467540","2020-07-25 00:00:00","8.100","290.000","1.400","28.500","0.790","1008.100","0.000","2.900","280.000","2339.000","2.000","300.000","2310.000","-99.000","37.900","1058.000","25.800","402.000","9.800","-99.000"
"A0A9M0","2020-07-25 00:00:00","24.058","0.000","0.200","26.500","0.930","1005.700","0.000","1.500","50.000","2323.000","0.600","80.000","2319.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAH010","2020-07-25 00:00:00","109.000","130.000","2.700","28.700","0.660","-99.000","0.000","4.500","130.000","2353.000","3.200","130.000","2355.000","-99.000","35.700","1416.000","24.500","344.000","-99.000","-99.000"
"A0W100","2020-07-25 00:00:00","2.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"A0Z080","2020-07-25 00:00:00","3171.000","290.000","0.700","10.100","0.900","-99.000","6.500","2.200","290.000","2323.000","1.600","280.000","2325.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAH020","2020-07-25 00:00:00","93.000","180.000","1.600","29.300","0.800","-99.000","0.000","2.700","170.000","2354.000","1.600","180.000","2359.000","-99.000","34.700","1541.000","25.500","436.000","-99.000","-99.000"
"467571","2020-07-25 00:00:00","26.900","0.000","0.200","30.500","0.780","1004.700","0.000","3.300","290.000","2346.000","0.400","990.000","2319.000","0.000","36.200","1237.000","26.600","358.000","11.600","-99.000"
"CAG030","2020-07-25 00:00:00","33.000","180.000","1.700","29.500","0.840","-99.000","0.000","4.000","190.000","2334.000","2.200","170.000","2301.000","-99.000","34.200","1452.000","27.500","404.000","-99.000","-99.000"
"CAF070","2020-07-25 00:00:00","181.000","190.000","2.200","28.000","0.690","-99.000","0.000","5.000","190.000","2329.000","3.200","180.000","2331.000","-99.000","33.000","1422.000","26.800","502.000","-99.000","-99.000"
"467490","2020-07-25 00:00:00","84.000","200.000","1.700","29.600","0.770","998.400","0.000","3.700","190.000","2357.000","1.700","190.000","2301.000","0.000","34.900","1355.000","26.100","319.000","9.700","-99.000"
"CAG060","2020-07-25 00:00:00","48.000","140.000","0.900","29.100","0.840","-99.000","0.000","3.000","160.000","2338.000","1.800","150.000","2309.000","-99.000","34.200","1456.000","25.800","258.000","-99.000","-99.000"
"467620","2020-07-25 00:00:00","324.000","200.000","5.200","26.800","0.980","973.300","2.000","7.400","210.000","2310.000","5.800","220.000","2303.000","0.000","30.500","1236.000","25.900","549.000","8.400","-99.000"
"CAE030","2020-07-25 00:00:00","76.000","10.000","0.600","26.700","0.710","-99.000","0.000","2.200","50.000","2302.000","0.800","40.000","2332.000","-99.000","36.100","1311.000","23.500","254.000","-99.000","-99.000"
