"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"CAE070","2020-07-28 00:00:00","77.000","110.000","1.500","27.600","0.800","-99.000","0.000","2.000","130.000","2346.000","1.600","120.000","2353.000","-99.000","32.700","948.000","26.800","2250.000","-99.000","-99.000"
"CAF010","2020-07-28 00:00:00","150.000","270.000","0.600","27.300","0.820","-99.000","0.000","2.400","260.000","2335.000","1.300","250.000","2340.000","-99.000","33.100","1108.000","26.000","535.000","-99.000","-99.000"
"CAD010","2020-07-28 00:00:00","36.000","80.000","1.500","26.300","0.740","-99.000","0.000","2.700","90.000","2308.000","1.600","80.000","2358.000","-99.000","34.600","1038.000","24.800","541.000","-99.000","-99.000"
"CAE010","2020-07-28 00:00:00","266.000","180.000","1.100","25.000","0.930","-99.000","3.000","2.700","190.000","2313.000","1.300","170.000","2317.000","-99.000","32.700","1126.000","24.800","2332.000","-99.000","-99.000"
"CAF060","2020-07-28 00:00:00","117.000","180.000","3.900","27.800","0.680","-99.000","0.000","6.200","180.000","2320.000","4.500","180.000","2323.000","-99.000","33.000","1037.000","26.600","407.000","-99.000","-99.000"
"CAE040","2020-07-28 00:00:00","97.000","210.000","0.800","27.100","0.800","-99.000","0.000","3.200","210.000","2350.000","1.200","260.000","2330.000","-99.000","34.500","1108.000","26.300","446.000","-99.000","-99.000"
"CAE060","2020-07-28 00:00:00","28.000","130.000","2.400","27.500","0.830","-99.000","0.000","3.000","130.000","2356.000","2.500","130.000","2358.000","-99.000","33.200","1024.000","26.300","517.000","-99.000","-99.000"
"CAAH60","2020-07-28 00:00:00","18.000","0.000","0.000","23.400","0.990","-99.000","5.500","0.000","0.000","2301.000","0.000","0.000","2301.000","-99.000","34.900","1217.000","23.300","2357.000","-99.000","-99.000"
"CAE080","2020-07-28 00:00:00","64.000","70.000","0.600","26.100","0.910","-99.000","0.000","2.100","80.000","2318.000","0.900","70.000","2321.000","-99.000","34.600","1140.000","24.000","357.000","-99.000","-99.000"
"A0W080","2020-07-28 00:00:00","3.000","220.000","0.300","28.100","1.000","-99.000","0.000","3.200","230.000","2303.000","2.500","210.000","2302.000","-99.000","32.400","1321.000","27.100","255.000","-99.000","-99.000"
"CAF050","2020-07-28 00:00:00","85.000","190.000","1.300","26.500","0.900","-99.000","1.000","4.500","180.000","2330.000","3.400","190.000","2323.000","-99.000","34.100","1205.000","24.800","1717.000","-99.000","-99.000"
"CAL010","2020-07-28 00:00:00","46.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAF080","2020-07-28 00:00:00","208.000","160.000","4.500","27.500","0.670","-99.000","0.000","6.500","170.000","2332.000","4.900","170.000","2334.000","-99.000","31.800","1026.000","26.000","438.000","-99.000","-99.000"
"CAE090","2020-07-28 00:00:00","89.000","150.000","2.600","27.800","0.850","-99.000","0.000","4.700","150.000","2326.000","3.200","150.000","2327.000","-99.000","33.500","1047.000","26.500","356.000","-99.000","-99.000"
"CAE050","2020-07-28 00:00:00","339.000","70.000","0.800","25.000","0.910","-99.000","1.500","3.000","40.000","2305.000","1.300","50.000","2305.000","-99.000","32.600","1121.000","23.600","408.000","-99.000","-99.000"
"A2K570","2020-07-28 00:00:00","90.000","130.000","1.000","25.500","0.990","-99.000","26.500","2.500","120.000","2329.000","1.300","130.000","2331.000","-99.000","34.500","1256.000","23.300","1601.000","-99.000","-99.000"
"CAE030","2020-07-28 00:00:00","76.000","310.000","0.600","26.300","0.740","-99.000","0.000","2.700","20.000","2316.000","0.600","290.000","2301.000","-99.000","35.600","1128.000","24.000","404.000","-99.000","-99.000"
"CAG060","2020-07-28 00:00:00","48.000","130.000","1.000","26.300","0.930","-99.000","0.500","3.700","150.000","2311.000","1.200","140.000","2301.000","-99.000","34.000","1214.000","25.300","456.000","-99.000","-99.000"
"CAF070","2020-07-28 00:00:00","181.000","130.000","3.700","27.300","0.680","-99.000","0.000","5.300","150.000","2302.000","4.000","140.000","2302.000","-99.000","32.600","1028.000","26.500","432.000","-99.000","-99.000"
"CAG030","2020-07-28 00:00:00","33.000","140.000","1.800","28.000","0.860","-99.000","0.000","3.000","140.000","2356.000","1.800","140.000","0.000","-99.000","34.200","1158.000","26.800","413.000","-99.000","-99.000"
"CAH020","2020-07-28 00:00:00","93.000","180.000","7.500","26.200","0.920","-99.000","32.000","10.000","170.000","2355.000","7.500","180.000","0.000","-99.000","34.600","1224.000","23.500","1636.000","-99.000","-99.000"
"A0Z080","2020-07-28 00:00:00","3171.000","0.000","0.200","10.000","0.960","-99.000","3.500","1.600","70.000","2343.000","1.200","270.000","2309.000","-99.000","16.300","1258.000","7.900","318.000","-99.000","-99.000"
"A0W100","2020-07-28 00:00:00","2.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAH010","2020-07-28 00:00:00","109.000","170.000","2.100","25.700","0.780","-99.000","60.500","4.000","140.000","2338.000","3.200","140.000","2342.000","-99.000","34.700","1243.000","23.000","1631.000","-99.000","-99.000"
"CAG050","2020-07-28 00:00:00","60.000","100.000","3.100","26.300","0.920","-99.000","1.500","4.300","90.000","2327.000","3.600","90.000","2328.000","-99.000","33.400","1131.000","25.500","1843.000","-99.000","-99.000"
"CAF090","2020-07-28 00:00:00","130.000","150.000","1.300","27.300","0.860","-99.000","0.000","2.700","130.000","2336.000","1.700","130.000","2338.000","-99.000","33.700","1020.000","25.700","321.000","-99.000","-99.000"
"D2F230","2020-07-28 00:00:00","1734.000","0.000","0.100","16.100","0.980","-99.000","0.500","1.200","120.000","2332.000","0.500","110.000","2333.000","-99.000","26.600","1220.000","12.900","550.000","-99.000","-99.000"
"CAF020","2020-07-28 00:00:00","209.000","110.000","1.300","26.800","0.860","-99.000","0.500","3.100","100.000","2302.000","2.200","110.000","2301.000","-99.000","33.200","1117.000","25.000","424.000","-99.000","-99.000"
"CAF040","2020-07-28 00:00:00","54.000","110.000","2.000","26.700","0.900","-99.000","0.500","3.700","130.000","2339.000","2.500","110.000","2339.000","-99.000","34.200","1150.000","25.500","1816.000","-99.000","-99.000"
"A0K420","2020-07-28 00:00:00","22.000","170.000","2.100","29.000","0.790","-99.000","0.000","3.700","150.000","2318.000","2.300","170.000","2357.000","-99.000","33.100","1136.000","27.500","528.000","-99.000","-99.000"
"CAF030","2020-07-28 00:00:00","195.000","130.000","1.000","27.600","0.650","-99.000","0.000","2.200","150.000","2349.000","1.300","150.000","2351.000","-99.000","33.100","1128.000","25.700","409.000","-99.000","-99.000"
"A0W030","2020-07-28 00:00:00","6.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"A0G720","2020-07-28 00:00:00","37.000","110.000","0.400","28.100","0.810","-99.000","0.500","2.900","100.000","-99.000","1.600","110.000","-99.000","-99.000","36.700","1111.000","26.300","447.000","-99.000","-99.000"
