"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"466900","2020-05-05 00:00:00","19.000","0.000","0.000","25.800","1.000","1008.500","0.000","1.600","100.000","2338.000","0.800","90.000","2340.000","-99.000","30.400","1151.000","24.700","35.000","8.800","-99.000"
"A0Z080","2020-05-05 00:00:00","3171.000","290.000","6.500","9.800","0.430","-99.000","0.000","12.300","350.000","2351.000","6.700","290.000","2355.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467990","2020-05-05 00:00:00","97.842","200.000","5.700","22.400","0.930","999.200","0.000","9.800","220.000","2359.000","6.100","210.000","2343.000","0.000","27.700","1435.000","21.400","519.000","9.700","-99.000"
"A0W100","2020-05-05 00:00:00","2.000","260.000","1.100","23.100","0.950","-99.000","0.000","3.400","330.000","2342.000","1.300","320.000","2344.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467350","2020-05-05 00:00:00","10.700","210.000","1.100","25.300","0.990","1009.600","0.000","4.400","200.000","2311.000","1.900","210.000","2318.000","0.000","30.200","1056.000","24.600","108.000","11.400","-99.000"
"466880","2020-05-05 00:00:00","11.000","240.000","0.700","27.400","0.830","1008.800","0.000","2.600","210.000","2335.000","1.200","220.000","2339.000","-99.000","35.500","1224.000","25.000","541.000","9.900","-99.000"
"466950","2020-05-05 00:00:00","99.000","280.000","3.100","23.600","0.960","998.800","0.000","5.700","170.000","2302.000","4.800","170.000","2301.000","-99.000","29.200","1111.000","23.200","258.000","10.700","-99.000"
"467420","2020-05-05 00:00:00","8.100","220.000","1.900","26.900","0.760","1009.400","0.000","3.700","190.000","2302.000","2.900","210.000","2301.000","-99.000","33.400","1233.000","25.100","501.000","10.900","-99.000"
"466910","2020-05-05 00:00:00","832.600","0.000","0.100","21.300","0.900","-99.000","0.000","1.600","150.000","2342.000","0.800","150.000","2307.000","0.000","27.600","1015.000","20.000","510.000","10.500","-99.000"
"469020","2020-05-05 00:00:00","4.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
