"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"467770","2020-03-03 00:00:00","7.200","360.000","4.100","17.000","0.740","1017.100","0.000","10.600","10.000","2305.000","5.600","360.000","2313.000","-99.000","21.200","1454.000","16.300","605.000","9.300","-99.000"
"466950","2020-03-03 00:00:00","99.000","50.000","7.700","16.900","0.720","1010.300","0.000","11.900","60.000","2343.000","8.400","50.000","2348.000","-99.000","17.800","1549.000","15.300","233.000","0.500","-99.000"
"466880","2020-03-03 00:00:00","11.000","60.000","4.100","17.200","0.790","1020.000","0.000","10.400","70.000","2341.000","4.600","70.000","2301.000","-99.000","18.300","1.000","16.000","638.000","0.000","-99.000"
"467350","2020-03-03 00:00:00","10.700","10.000","6.100","19.200","0.830","1019.300","0.000","13.200","10.000","2318.000","6.600","10.000","2306.000","0.000","22.200","1233.000","19.100","2358.000","3.700","-99.000"
"A0W100","2020-03-03 00:00:00","2.000","50.000","7.500","15.200","0.710","-99.000","0.000","9.900","40.000","2349.000","7.500","50.000","2400.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467990","2020-03-03 00:00:00","97.842","20.000","3.800","11.600","0.770","1013.500","0.000","8.700","40.000","2357.000","3.900","30.000","2314.000","0.000","13.100","1312.000","11.600","2351.000","0.000","-99.000"
"A0Z080","2020-03-03 00:00:00","3171.000","280.000","4.200","3.300","0.400","-99.000","0.000","9.600","350.000","2333.000","6.100","270.000","2322.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"466940","2020-03-03 00:00:00","26.700","80.000","1.900","17.200","-99.000","1018.700","3.000","4.400","70.000","2319.000","2.400","80.000","2327.000","0.000","17.900","1942.000","15.000","651.000","0.000","-99.000"
"466900","2020-03-03 00:00:00","19.000","0.000","0.200","16.300","0.860","1019.300","0.000","3.800","20.000","2320.000","2.300","10.000","2325.000","-99.000","19.400","1411.000","14.200","612.000","3.300","-99.000"
"466990","2020-03-03 00:00:00","16.100","330.000","2.000","18.300","0.880","1019.100","1.000","4.900","310.000","2312.000","3.300","310.000","2312.000","0.000","21.300","1213.000","18.200","2306.000","0.000","-99.000"
"467571","2020-03-03 00:00:00","26.900","20.000","2.100","17.000","0.770","1017.000","0.000","5.800","10.000","2306.000","2.300","50.000","2307.000","0.000","20.000","1416.000","15.700","650.000","5.300","-99.000"
"467490","2020-03-03 00:00:00","84.000","50.000","0.500","18.600","0.710","1009.600","0.000","3.500","270.000","2302.000","1.700","340.000","2301.000","0.000","26.500","1418.000","17.800","2212.000","9.300","-99.000"
"467620","2020-03-03 00:00:00","324.000","20.000","6.600","19.400","0.880","982.100","16.500","16.400","10.000","2356.000","7.200","20.000","2317.000","0.000","21.300","1.000","18.300","1242.000","0.500","-99.000"
"467650","2020-03-03 00:00:00","1014.800","0.000","0.200","15.200","0.780","-99.000","0.000","1.500","60.000","2302.000","1.200","60.000","2301.000","0.000","24.600","1310.000","14.700","2336.000","10.600","-99.000"
"467410","2020-03-03 00:00:00","13.800","360.000","4.700","20.200","0.710","1016.600","0.000","9.700","350.000","2339.000","5.000","360.000","2343.000","0.000","27.000","1448.000","19.000","724.000","7.400","-99.000"
"A0W080","2020-03-03 00:00:00","3.000","20.000","10.600","18.500","0.810","-99.000","0.000","16.800","50.000","2314.000","10.900","20.000","2349.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467110","2020-03-03 00:00:00","48.000","60.000","4.700","14.600","0.660","1019.500","0.000","9.400","50.000","2354.000","4.700","60.000","2400.000","0.000","19.700","1345.000","14.400","1907.000","2.300","-99.000"
"A0W030","2020-03-03 00:00:00","6.000","50.000","3.000","14.900","0.670","-99.000","0.000","7.000","70.000","2303.000","3.300","50.000","2349.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467050","2020-03-03 00:00:00","20.600","50.000","7.100","16.800","0.820","1018.400","0.000","14.300","50.000","2304.000","9.300","50.000","2304.000","0.000","18.600","1150.000","15.600","541.000","-99.000","-99.000"
