"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"467550","2020-05-20 00:00:00","3844.800","250.000","4.300","4.200","1.000","-99.000","54.500","10.600","230.000","2341.000","5.100","240.000","2352.000","0.000","7.300","1255.000","2.500","932.000","0.000","-99.000"
"A0K420","2020-05-20 00:00:00","22.000","40.000","2.300","22.900","0.950","-99.000","203.500","3.600","40.000","2352.000","2.600","70.000","2301.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467660","2020-05-20 00:00:00","9.000","20.000","1.300","24.900","0.890","1007.900","2.500","3.300","10.000","2350.000","1.500","20.000","2358.000","0.000","28.500","1058.000","24.800","2323.000","0.000","-99.000"
"466920","2020-05-20 00:00:00","6.255","90.000","2.500","23.400","0.920","1005.200","30.500","5.000","100.000","2312.000","3.000","90.000","2333.000","0.000","25.600","1016.000","21.800","1131.000","0.000","-99.000"
"A0W080","2020-05-20 00:00:00","3.000","0.000","0.000","24.000","0.900","-99.000","40.500","0.700","240.000","2320.000","0.200","0.000","2326.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467110","2020-05-20 00:00:00","48.000","70.000","3.200","23.700","0.780","1005.400","0.000","6.300","70.000","2358.000","3.200","70.000","2359.000","0.000","30.600","1220.000","23.200","1806.000","0.700","-99.000"
"A0W030","2020-05-20 00:00:00","6.000","40.000","1.600","24.100","0.930","-99.000","0.000","5.000","50.000","2311.000","1.900","50.000","2307.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467050","2020-05-20 00:00:00","20.600","90.000","1.400","21.800","0.980","1006.700","106.000","2.800","100.000","2344.000","1.900","80.000","2301.000","0.000","27.100","20.000","21.100","1135.000","0.000","-99.000"
"A0G720","2020-05-20 00:00:00","37.000","0.000","0.100","23.100","0.990","-99.000","25.500","1.000","330.000","-99.000","0.800","270.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467530","2020-05-20 00:00:00","2413.400","290.000","1.600","10.700","1.000","-99.000","48.500","3.900","310.000","2345.000","1.700","290.000","2354.000","-99.000","11.800","1450.000","9.800","1816.000","0.000","-99.000"
"467770","2020-05-20 00:00:00","7.200","20.000","1.800","23.600","0.870","1005.700","19.000","4.100","10.000","2341.000","2.500","20.000","2303.000","-99.000","26.500","1.000","22.800","941.000","0.000","-99.000"
"A0T780","2020-05-20 00:00:00","83.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467610","2020-05-20 00:00:00","33.300","10.000","1.800","23.400","0.910","1004.600","5.500","3.100","30.000","2349.000","2.500","10.000","2301.000","0.000","30.300","857.000","23.300","2338.000","0.900","-99.000"
"467440","2020-05-20 00:00:00","2.300","0.000","0.000","26.000","0.820","1008.300","9.500","2.400","70.000","2302.000","1.300","80.000","2314.000","0.000","29.800","950.000","24.200","1425.000","0.000","-99.000"
"468100","2020-05-20 00:00:00","4.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"A0C540","2020-05-20 00:00:00","1374.000","140.000","1.000","15.700","1.000","-99.000","10.000","1.900","150.000","2354.000","1.100","140.000","2356.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467300","2020-05-20 00:00:00","44.500","160.000","5.600","27.000","0.770","1003.400","15.500","7.500","160.000","2359.000","5.900","150.000","2350.000","-99.000","28.100","1208.000","24.300","946.000","0.200","-99.000"
"467420","2020-05-20 00:00:00","8.100","130.000","1.900","24.500","0.830","1007.000","48.500","3.300","120.000","2357.000","2.100","130.000","2349.000","-99.000","28.400","823.000","22.800","1515.000","0.000","-99.000"
"466950","2020-05-20 00:00:00","99.000","60.000","5.000","22.800","0.810","997.800","133.000","10.300","60.000","2301.000","6.600","70.000","2331.000","-99.000","25.300","359.000","19.900","1120.000","0.000","-99.000"
"466880","2020-05-20 00:00:00","11.000","70.000","2.300","23.600","0.880","1007.200","22.000","4.600","70.000","2320.000","2.400","70.000","2327.000","-99.000","25.200","1031.000","22.100","1130.000","0.000","-99.000"
"467350","2020-05-20 00:00:00","10.700","190.000","2.200","25.500","0.970","1007.000","74.000","4.300","190.000","2318.000","2.500","180.000","2318.000","0.000","27.000","1232.000","22.400","1023.000","0.000","-99.000"
"A0W100","2020-05-20 00:00:00","2.000","50.000","4.600","24.600","0.790","-99.000","0.000","6.800","50.000","2346.000","5.400","50.000","2347.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467990","2020-05-20 00:00:00","97.842","10.000","1.800","21.200","0.880","999.800","-99.000","4.800","320.000","2319.000","1.800","10.000","2301.000","0.000","26.000","1232.000","21.000","2159.000","3.700","-99.000"
