"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"CAE070","2020-12-14 00:00:00","77.000","60.000","2.400","17.800","0.930","-99.000","0.000","5.800","10.000","2301.000","3.200","20.000","2304.000","-99.000","22.800","1117.000","16.500","418.000","-99.000","-99.000"
"CAF010","2020-12-14 00:00:00","150.000","360.000","1.100","17.000","0.900","-99.000","0.000","3.200","360.000","2301.000","1.800","350.000","2301.000","-99.000","26.600","1133.000","16.300","549.000","-99.000","-99.000"
"467480","2020-12-14 00:00:00","26.900","300.000","0.600","17.700","0.890","1011.600","0.000","1.700","290.000","2325.000","1.300","290.000","2329.000","0.000","29.800","1250.000","17.300","2245.000","7.900","1.700"
"CAD010","2020-12-14 00:00:00","36.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAE010","2020-12-14 00:00:00","266.000","40.000","0.600","16.500","0.960","-99.000","0.000","3.000","40.000","2326.000","1.000","40.000","2328.000","-99.000","22.500","1218.000","15.000","650.000","-99.000","-99.000"
"CAF060","2020-12-14 00:00:00","117.000","90.000","2.400","17.500","0.770","-99.000","0.000","4.200","70.000","2334.000","3.000","70.000","2336.000","-99.000","22.600","1103.000","16.500","353.000","-99.000","-99.000"
"CAE040","2020-12-14 00:00:00","97.000","20.000","0.400","16.800","0.920","-99.000","0.000","2.200","80.000","2328.000","1.600","60.000","2308.000","-99.000","22.000","1140.000","16.500","435.000","-99.000","-99.000"
"CAE060","2020-12-14 00:00:00","28.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAAH60","2020-12-14 00:00:00","18.000","0.000","0.000","18.900","0.990","-99.000","0.000","2.200","20.000","2311.000","0.500","70.000","2311.000","-99.000","24.500","1146.000","17.000","346.000","-99.000","-99.000"
"CAE080","2020-12-14 00:00:00","64.000","20.000","3.000","17.500","0.960","-99.000","0.000","5.300","20.000","2317.000","3.200","30.000","2301.000","-99.000","22.700","1133.000","16.500","459.000","-99.000","-99.000"
"A0W080","2020-12-14 00:00:00","3.000","30.000","7.700","20.100","0.840","-99.000","0.000","11.900","60.000","2354.000","8.100","30.000","2328.000","-99.000","22.500","1122.000","18.600","209.000","-99.000","-99.000"
"CAF050","2020-12-14 00:00:00","85.000","190.000","0.600","18.000","0.910","-99.000","0.000","1.300","190.000","2326.000","1.000","190.000","2332.000","-99.000","27.000","1213.000","17.300","323.000","-99.000","-99.000"
"CAL010","2020-12-14 00:00:00","46.000","360.000","2.000","17.500","0.930","-99.000","0.000","2.600","360.000","2359.000","2.000","360.000","2359.000","-99.000","28.100","1229.000","17.500","238.000","-99.000","-99.000"
"CAF080","2020-12-14 00:00:00","208.000","70.000","3.000","17.300","0.900","-99.000","0.000","5.300","80.000","2301.000","3.700","70.000","2303.000","-99.000","22.800","1106.000","15.800","237.000","-99.000","-99.000"
"CAE090","2020-12-14 00:00:00","89.000","30.000","3.700","17.800","0.880","-99.000","0.000","5.400","60.000","2335.000","3.700","30.000","2359.000","-99.000","22.800","1117.000","16.500","412.000","-99.000","-99.000"
"CAE050","2020-12-14 00:00:00","339.000","40.000","3.700","16.000","0.990","-99.000","0.000","6.500","30.000","2338.000","4.400","50.000","2317.000","-99.000","25.700","1150.000","15.300","516.000","-99.000","-99.000"
"A2K570","2020-12-14 00:00:00","90.000","100.000","0.400","16.500","0.990","-99.000","0.000","0.900","90.000","2340.000","0.400","100.000","2349.000","-99.000","27.500","1247.000","16.500","2328.000","-99.000","-99.000"
"CAE030","2020-12-14 00:00:00","76.000","20.000","0.500","16.800","0.760","-99.000","0.000","2.200","30.000","2313.000","0.800","30.000","2306.000","-99.000","22.600","1138.000","16.300","601.000","-99.000","-99.000"
"CAG060","2020-12-14 00:00:00","48.000","50.000","1.000","18.300","0.880","-99.000","0.000","2.600","20.000","2324.000","1.200","250.000","2301.000","-99.000","26.100","1145.000","17.000","403.000","-99.000","-99.000"
"CAF070","2020-12-14 00:00:00","181.000","70.000","3.200","17.100","0.910","-99.000","0.000","5.500","50.000","2312.000","4.000","50.000","2315.000","-99.000","22.500","1136.000","16.000","208.000","-99.000","-99.000"
"CAG030","2020-12-14 00:00:00","33.000","360.000","2.100","17.700","0.920","-99.000","0.000","3.200","360.000","2349.000","2.200","350.000","2301.000","-99.000","25.800","1142.000","17.100","212.000","-99.000","-99.000"
"CAH020","2020-12-14 00:00:00","93.000","260.000","0.800","17.500","0.940","-99.000","0.000","1.100","190.000","2312.000","0.800","260.000","0.000","-99.000","27.800","1231.000","17.100","243.000","-99.000","-99.000"
"A0Z080","2020-12-14 00:00:00","3171.000","280.000","8.800","4.000","0.910","-99.000","0.000","17.800","360.000","2351.000","9.600","290.000","2331.000","-99.000","4.000","2326.000","0.500","850.000","-99.000","-99.000"
"A0W100","2020-12-14 00:00:00","2.000","40.000","5.600","17.800","0.830","-99.000","0.000","8.700","50.000","2332.000","6.600","50.000","2331.000","-99.000","20.800","1302.000","16.800","244.000","-99.000","-99.000"
