"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"467571","2020-05-12 00:00:00","26.900","10.000","1.400","24.800","0.870","1007.100","0.000","4.400","350.000","2306.000","2.600","350.000","2305.000","0.000","29.800","1133.000","24.700","2001.000","1.800","-99.000"
"A0C540","2020-05-12 00:00:00","1374.000","0.000","0.000","18.000","0.980","-99.000","0.000","1.700","220.000","2330.000","1.000","200.000","2334.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"468100","2020-05-12 00:00:00","4.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467440","2020-05-12 00:00:00","2.300","270.000","0.900","28.500","0.870","1009.900","0.000","3.200","290.000","2328.000","2.200","290.000","2328.000","0.000","33.100","1513.000","28.200","41.000","9.300","-99.000"
"467770","2020-05-12 00:00:00","7.200","350.000","4.700","25.900","0.840","1007.300","0.500","7.300","340.000","2400.000","4.700","350.000","2400.000","-99.000","29.600","1426.000","25.200","2117.000","7.000","-99.000"
"467530","2020-05-12 00:00:00","2413.400","170.000","0.400","11.900","0.910","-99.000","8.500","3.300","260.000","2327.000","1.600","270.000","2329.000","-99.000","17.300","939.000","11.300","14.000","4.000","-99.000"
"A0G720","2020-05-12 00:00:00","37.000","300.000","1.500","25.700","0.880","-99.000","0.000","4.400","320.000","-99.000","2.500","320.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467050","2020-05-12 00:00:00","20.600","40.000","3.500","24.000","0.900","1008.600","0.000","5.600","30.000","2315.000","3.900","40.000","2302.000","0.000","27.200","1241.000","23.700","2034.000","0.400","-99.000"
"A0W030","2020-05-12 00:00:00","6.000","20.000","0.900","22.900","0.910","-99.000","0.000","2.800","60.000","2317.000","1.200","60.000","2319.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467110","2020-05-12 00:00:00","48.000","230.000","0.300","23.000","0.730","1009.000","0.000","2.700","90.000","2316.000","1.700","100.000","2315.000","0.000","30.400","1326.000","22.200","102.000","0.800","-99.000"
"A0W080","2020-05-12 00:00:00","3.000","10.000","4.300","24.300","0.880","-99.000","0.000","6.800","20.000","2357.000","4.300","10.000","2357.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"466920","2020-05-12 00:00:00","6.255","90.000","2.800","24.000","0.870","1006.500","0.500","6.600","90.000","2303.000","3.800","90.000","2328.000","0.000","29.500","1154.000","23.700","2233.000","3.400","-99.000"
"467660","2020-05-12 00:00:00","9.000","40.000","0.500","27.200","0.900","1008.500","17.000","2.300","70.000","2324.000","1.100","40.000","2329.000","0.000","31.800","1107.000","26.800","510.000","5.100","-99.000"
"A0K420","2020-05-12 00:00:00","22.000","10.000","4.000","26.300","0.900","-99.000","0.000","8.400","10.000","2345.000","5.300","20.000","2347.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467550","2020-05-12 00:00:00","3844.800","250.000","3.700","4.600","1.000","-99.000","4.000","9.200","260.000","2310.000","5.500","250.000","2301.000","0.000","12.600","1430.000","3.300","2107.000","4.200","-99.000"
