"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"A0G720","2020-03-28 00:00:00","37.000","0.000","0.200","23.000","0.790","-99.000","0.000","1.800","110.000","-99.000","0.900","130.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467050","2020-03-28 00:00:00","20.600","60.000","3.300","21.500","0.930","1012.500","0.000","7.000","70.000","2331.000","4.700","60.000","2323.000","0.000","27.700","1104.000","21.200","2105.000","3.000","-99.000"
"A0W030","2020-03-28 00:00:00","6.000","30.000","1.800","19.200","0.950","-99.000","0.000","7.900","70.000","2307.000","3.700","50.000","2312.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467110","2020-03-28 00:00:00","48.000","-99.000","-99.000","19.700","0.830","1012.100","0.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","0.000","26.300","1511.000","19.300","2225.000","4.500","-99.000"
"A0W080","2020-03-28 00:00:00","3.000","20.000","3.100","23.300","0.950","-99.000","0.000","5.000","50.000","2331.000","3.400","30.000","2334.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"466920","2020-03-28 00:00:00","6.255","100.000","4.100","21.700","0.920","1011.300","30.000","8.300","70.000","2316.000","4.600","70.000","2301.000","0.000","33.100","1148.000","21.400","2124.000","3.500","-99.000"
"467660","2020-03-28 00:00:00","9.000","30.000","2.700","24.000","0.920","1013.100","14.500","5.100","40.000","2356.000","2.700","30.000","2400.000","0.000","29.400","1058.000","23.700","2339.000","7.500","-99.000"
"A0K420","2020-03-28 00:00:00","22.000","90.000","2.200","23.800","0.760","-99.000","0.000","3.100","110.000","2343.000","2.500","110.000","2343.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467550","2020-03-28 00:00:00","3844.800","230.000","10.400","0.200","0.690","-99.000","1.000","19.600","220.000","2355.000","10.900","220.000","2343.000","0.000","11.100","1106.000","-0.200","2227.000","6.100","-99.000"
"CAAH60","2020-03-28 00:00:00","18.000","320.000","0.400","20.900","0.940","-99.000","47.500","3.300","150.000","2325.000","0.900","70.000","2314.000","-99.000","30.700","1103.000","20.400","2112.000","-99.000","-99.000"
"467590","2020-03-28 00:00:00","22.300","140.000","1.300","26.000","0.990","1010.600","-99.000","4.100","110.000","2332.000","2.000","120.000","2335.000","0.000","31.600","1243.000","24.900","443.000","8.300","-99.000"
"466930","2020-03-28 00:00:00","607.100","30.000","3.800","18.000","0.940","945.900","20.500","10.000","20.000","2329.000","4.800","30.000","2330.000","-99.000","27.000","1204.000","17.100","2041.000","4.400","-99.000"
"D2F230","2020-03-28 00:00:00","1734.000","0.000","0.100","11.200","0.990","-99.000","3.000","0.800","80.000","2346.000","0.300","40.000","2318.000","-99.000","22.600","1220.000","8.400","550.000","-99.000","-99.000"
"467060","2020-03-28 00:00:00","24.900","150.000","3.200","21.100","1.000","1012.100","45.500","6.300","100.000","2301.000","4.000","120.000","2324.000","-99.000","28.100","1413.000","20.900","2234.000","6.400","-99.000"
"467480","2020-03-28 00:00:00","26.900","70.000","1.100","21.900","0.900","1010.100","1.500","2.400","70.000","2339.000","1.800","80.000","2342.000","0.000","33.300","1234.000","21.600","605.000","10.500","-99.000"
"467540","2020-03-28 00:00:00","8.100","300.000","1.200","23.300","0.860","1012.500","8.000","4.100","300.000","2306.000","2.200","290.000","2335.000","-99.000","30.200","1050.000","22.800","437.000","4.800","-99.000"
"467080","2020-03-28 00:00:00","7.400","120.000","0.700","21.500","0.900","1014.500","13.000","4.400","150.000","2309.000","2.600","140.000","2305.000","0.000","30.200","1225.000","21.200","2330.000","5.900","-99.000"
"A0A9M0","2020-03-28 00:00:00","24.058","110.000","0.600","20.800","0.940","1012.700","51.000","4.100","50.000","2301.000","2.800","70.000","2304.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"466910","2020-03-28 00:00:00","832.600","100.000","3.200","17.000","0.960","-99.000","16.000","7.900","60.000","2348.000","3.500","90.000","2356.000","0.000","23.600","1225.000","16.200","2038.000","2.300","-99.000"
"469020","2020-03-28 00:00:00","4.500","40.000","1.800","28.100","0.810","1010.100","0.000","4.400","40.000","2358.000","2.400","60.000","2301.000","-99.000","31.300","1315.000","27.500","123.000","-99.000","-99.000"
"467610","2020-03-28 00:00:00","33.300","80.000","1.600","23.400","0.880","1009.900","40.000","6.100","150.000","2342.000","3.400","40.000","2301.000","0.000","28.500","1032.000","21.700","1431.000","3.400","-99.000"
