"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"A0K420","2020-04-22 00:00:00","22.000","30.000","6.900","22.900","0.840","-99.000","0.000","13.600","10.000","2312.000","8.300","20.000","2307.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAAH60","2020-04-22 00:00:00","18.000","120.000","0.300","20.400","0.870","-99.000","0.000","2.800","140.000","2302.000","0.800","110.000","2328.000","-99.000","25.000","1200.000","20.100","2124.000","-99.000","-99.000"
"467660","2020-04-22 00:00:00","9.000","40.000","2.200","25.100","0.870","1011.800","0.000","5.500","50.000","2328.000","2.900","40.000","2350.000","0.000","29.600","1238.000","23.600","459.000","4.800","-99.000"
"466920","2020-04-22 00:00:00","6.255","100.000","2.400","21.100","0.840","1012.400","0.000","6.200","90.000","2334.000","3.000","90.000","2341.000","0.000","26.000","1150.000","20.700","2047.000","0.000","-99.000"
"A0W080","2020-04-22 00:00:00","3.000","40.000","9.800","21.100","0.860","-99.000","0.000","14.300","70.000","2326.000","10.100","40.000","2332.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467110","2020-04-22 00:00:00","48.000","60.000","4.800","17.600","0.770","1014.100","0.000","11.900","70.000","2322.000","5.300","60.000","2348.000","0.000","22.000","916.000","17.600","2340.000","0.000","-99.000"
"A0W030","2020-04-22 00:00:00","6.000","50.000","3.900","17.500","0.920","-99.000","0.000","9.800","70.000","2342.000","4.100","60.000","2301.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467050","2020-04-22 00:00:00","20.600","40.000","6.700","18.700","0.980","1014.100","0.000","12.600","30.000","2333.000","7.500","40.000","2322.000","0.000","24.300","121.000","18.700","2357.000","0.000","-99.000"
"A0G720","2020-04-22 00:00:00","37.000","10.000","0.900","21.700","0.850","-99.000","0.000","3.400","30.000","-99.000","1.400","340.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467530","2020-04-22 00:00:00","2413.400","290.000","1.200","11.800","0.650","-99.000","0.000","5.300","280.000","2332.000","1.600","240.000","2341.000","-99.000","18.600","1236.000","10.100","145.000","7.800","-99.000"
"467770","2020-04-22 00:00:00","7.200","360.000","5.300","21.000","0.810","1012.000","0.000","11.100","20.000","2321.000","5.600","350.000","2326.000","-99.000","26.400","1148.000","20.900","2354.000","1.700","-99.000"
"467550","2020-04-22 00:00:00","3844.800","250.000","6.500","3.400","-99.000","-99.000","0.000","16.900","270.000","2357.000","6.800","250.000","2356.000","0.000","15.100","1216.000","3.400","2054.000","1.500","-99.000"
"A0T780","2020-04-22 00:00:00","83.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467440","2020-04-22 00:00:00","2.300","360.000","4.100","25.400","0.760","1012.900","0.000","7.000","10.000","2316.000","4.900","360.000","2356.000","0.000","30.000","1400.000","24.800","430.000","10.100","-99.000"
"468100","2020-04-22 00:00:00","4.000","40.000","1.900","25.400","0.860","1013.300","0.000","3.600","50.000","2359.000","1.900","40.000","2400.000","-99.000","29.700","1345.000","23.900","306.000","-99.000","-99.000"
"A0C540","2020-04-22 00:00:00","1374.000","70.000","0.600","14.900","1.000","-99.000","0.000","2.000","100.000","2301.000","1.700","100.000","2304.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467300","2020-04-22 00:00:00","44.500","30.000","9.000","23.300","0.800","1009.300","0.000","12.700","40.000","2305.000","9.900","20.000","2324.000","-99.000","28.200","1206.000","23.100","2306.000","4.300","-99.000"
"467610","2020-04-22 00:00:00","33.300","20.000","3.400","23.700","0.860","1008.700","0.000","6.800","30.000","2310.000","3.800","20.000","2301.000","0.000","28.400","1055.000","22.300","327.000","3.400","-99.000"
