"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"466950","2020-04-18 00:00:00","99.000","190.000","8.900","22.300","0.880","1002.900","0.000","12.700","190.000","2315.000","10.300","180.000","2315.000","-99.000","27.100","1252.000","20.400","545.000","11.800","-99.000"
"466880","2020-04-18 00:00:00","11.000","200.000","0.900","20.900","0.900","1013.500","0.000","3.300","180.000","2344.000","1.800","190.000","2351.000","-99.000","29.900","1230.000","16.700","551.000","7.100","-99.000"
"467350","2020-04-18 00:00:00","10.700","170.000","2.100","24.000","0.940","1013.100","0.000","5.200","190.000","2337.000","3.200","170.000","2337.000","0.000","28.200","1059.000","19.600","424.000","10.800","-99.000"
"A0W100","2020-04-18 00:00:00","2.000","210.000","1.200","20.800","0.920","-99.000","0.000","4.700","190.000","2317.000","2.500","190.000","2323.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467990","2020-04-18 00:00:00","97.842","210.000","6.900","20.900","0.830","1002.700","0.000","13.500","220.000","2329.000","7.900","200.000","2308.000","0.000","26.600","1332.000","15.900","534.000","11.700","-99.000"
"A0Z080","2020-04-18 00:00:00","3171.000","290.000","5.300","6.500","-99.000","-99.000","0.000","15.900","300.000","2344.000","8.200","270.000","2345.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"469020","2020-04-18 00:00:00","4.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"466900","2020-04-18 00:00:00","19.000","150.000","1.300","20.900","0.930","1013.200","0.000","2.800","160.000","2352.000","1.300","130.000","2334.000","-99.000","26.900","1223.000","18.100","428.000","10.600","-99.000"
"466990","2020-04-18 00:00:00","16.100","230.000","3.700","23.000","0.840","1012.600","0.000","5.500","220.000","2358.000","3.700","230.000","2359.000","0.000","28.800","1426.000","18.600","553.000","9.700","-99.000"
"466910","2020-04-18 00:00:00","832.600","350.000","1.600","16.000","0.780","-99.000","0.000","2.400","10.000","2323.000","1.600","350.000","2400.000","0.000","22.900","1221.000","12.100","127.000","8.100","-99.000"
"A0A9M0","2020-04-18 00:00:00","24.058","0.000","0.000","17.800","0.970","1013.100","0.000","0.200","0.000","2301.000","0.100","0.000","2302.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467080","2020-04-18 00:00:00","7.400","280.000","1.400","21.000","0.770","1013.800","-99.000","3.200","280.000","2307.000","2.500","290.000","2301.000","0.000","29.400","1304.000","17.700","502.000","11.400","-99.000"
"467540","2020-04-18 00:00:00","8.100","300.000","2.900","23.100","0.810","1014.200","0.000","4.700","300.000","2311.000","3.100","300.000","2315.000","-99.000","30.100","1154.000","19.300","240.000","9.800","-99.000"
"467480","2020-04-18 00:00:00","26.900","90.000","0.600","20.900","0.870","1011.500","0.000","2.900","240.000","2316.000","2.000","250.000","2317.000","0.000","31.000","1323.000","16.700","352.000","11.100","-99.000"
"467060","2020-04-18 00:00:00","24.900","280.000","1.600","22.600","0.840","1011.200","0.000","4.800","240.000","2349.000","1.900","270.000","2357.000","-99.000","27.700","1110.000","17.700","503.000","10.800","-99.000"
"D2F230","2020-04-18 00:00:00","1734.000","0.000","0.200","6.900","0.880","-99.000","0.000","0.800","40.000","2332.000","0.300","40.000","2301.000","-99.000","25.500","1232.000","1.900","543.000","-99.000","-99.000"
"466930","2020-04-18 00:00:00","607.100","50.000","1.100","17.500","0.840","946.600","0.000","2.000","40.000","2337.000","1.100","50.000","2326.000","-99.000","24.500","1309.000","15.100","159.000","9.500","-99.000"
"467590","2020-04-18 00:00:00","22.300","140.000","2.800","25.500","0.890","1011.900","0.000","7.100","120.000","2330.000","3.300","130.000","2335.000","0.000","30.900","1347.000","22.500","248.000","9.500","-99.000"
"CAAH60","2020-04-18 00:00:00","18.000","0.000","0.000","20.100","0.880","-99.000","0.000","0.800","230.000","2316.000","0.000","0.000","2301.000","-99.000","28.400","1209.000","16.300","431.000","-99.000","-99.000"
"467550","2020-04-18 00:00:00","3844.800","210.000","5.900","1.600","-99.000","-99.000","0.000","12.700","230.000","2313.000","8.300","210.000","2302.000","0.000","20.100","1118.000","1.400","1.000","12.300","-99.000"
"467571","2020-04-18 00:00:00","26.900","100.000","1.800","21.100","0.880","1011.800","0.000","3.700","90.000","2353.000","1.800","100.000","2356.000","0.000","27.300","1310.000","17.200","503.000","9.900","-99.000"
"467490","2020-04-18 00:00:00","84.000","0.000","0.000","22.200","0.700","1005.100","0.000","1.500","70.000","2302.000","0.500","70.000","2303.000","0.000","29.500","1327.000","17.700","508.000","9.500","-99.000"
"467620","2020-04-18 00:00:00","324.000","90.000","4.900","22.800","0.990","978.900","0.000","8.400","100.000","2307.000","5.300","100.000","2313.000","0.000","25.500","1200.000","20.400","329.000","1.900","-99.000"
"467650","2020-04-18 00:00:00","1014.800","0.000","0.100","18.000","0.840","-99.000","0.000","2.500","160.000","2304.000","2.400","160.000","2301.000","0.000","28.200","1306.000","13.700","400.000","10.500","-99.000"
"467410","2020-04-18 00:00:00","13.800","60.000","0.600","24.400","0.800","1011.700","0.000","2.000","10.000","2343.000","1.000","10.000","2343.000","0.000","29.600","1414.000","20.800","533.000","11.300","-99.000"
"466940","2020-04-18 00:00:00","26.700","180.000","1.700","20.800","0.880","1011.300","0.000","4.200","200.000","2339.000","2.900","210.000","2325.000","0.000","27.500","1014.000","18.300","511.000","11.600","-99.000"
"A2K570","2020-04-18 00:00:00","90.000","160.000","0.700","20.900","0.990","-99.000","0.000","1.700","140.000","2329.000","1.200","140.000","2333.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467610","2020-04-18 00:00:00","33.300","290.000","1.100","22.300","0.850","1010.600","0.000","2.700","330.000","2324.000","2.000","320.000","2329.000","0.000","28.900","1301.000","18.100","523.000","10.000","-99.000"
"467300","2020-04-18 00:00:00","44.500","180.000","2.200","24.600","0.760","1009.600","0.000","4.100","160.000","2326.000","3.400","160.000","2331.000","-99.000","27.400","1249.000","23.000","403.000","10.000","-99.000"
"A0C540","2020-04-18 00:00:00","1374.000","190.000","0.500","15.000","0.900","-99.000","0.000","1.700","220.000","2330.000","1.400","240.000","2334.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"468100","2020-04-18 00:00:00","4.000","50.000","2.400","24.400","0.960","1014.100","0.000","4.400","40.000","2302.000","2.700","40.000","2301.000","-99.000","30.100","1202.000","23.800","1.000","-99.000","10.000"
"467440","2020-04-18 00:00:00","2.300","200.000","1.200","26.000","0.780","1013.800","0.000","4.300","230.000","2325.000","1.600","210.000","2332.000","0.000","29.700","1419.000","21.700","507.000","11.500","-99.000"
