"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"467770","2020-01-03 00:00:00","7.200","350.000","1.500","16.500","0.860","1020.000","0.000","2.000","10.000","2309.000","1.500","10.000","2316.000","-99.000","21.500","1315.000","13.800","345.000","9.800","-99.000"
"467530","2020-01-03 00:00:00","2413.400","70.000","1.600","6.200","0.640","-99.000","0.000","4.300","90.000","2303.000","2.100","80.000","2339.000","-99.000","12.700","1252.000","4.800","556.000","9.100","-99.000"
"A0G720","2020-01-03 00:00:00","37.000","0.000","0.000","14.800","0.980","-99.000","0.000","0.700","120.000","-99.000","0.500","120.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467050","2020-01-03 00:00:00","20.600","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"A0W030","2020-01-03 00:00:00","6.000","10.000","0.500","14.800","0.850","-99.000","0.000","3.100","10.000","2302.000","0.800","20.000","2307.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467110","2020-01-03 00:00:00","48.000","30.000","2.400","14.300","0.850","1022.400","0.000","5.200","40.000","2304.000","2.900","40.000","2305.000","0.000","22.000","1339.000","12.200","203.000","6.300","-99.000"
"A0W080","2020-01-03 00:00:00","3.000","20.000","6.100","17.600","0.890","-99.000","0.000","9.700","40.000","2314.000","6.600","20.000","2315.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"466920","2020-01-03 00:00:00","6.255","100.000","4.000","18.300","0.770","1020.100","0.000","7.400","90.000","2311.000","4.400","90.000","2311.000","0.000","25.800","1349.000","16.400","407.000","9.800","-99.000"
"467080","2020-01-03 00:00:00","7.400","280.000","1.000","17.400","0.850","1024.100","0.000","2.800","300.000","2322.000","1.900","290.000","2324.000","0.000","23.600","1332.000","15.500","314.000","3.200","-99.000"
"466910","2020-01-03 00:00:00","832.600","70.000","6.100","12.300","0.880","-99.000","0.000","11.800","80.000","2358.000","6.200","80.000","2352.000","0.000","18.500","1420.000","10.500","300.000","8.100","-99.000"
"A0T780","2020-01-03 00:00:00","83.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"469020","2020-01-03 00:00:00","4.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467540","2020-01-03 00:00:00","8.100","10.000","2.600","21.800","0.670","1022.900","0.000","7.300","350.000","2305.000","3.700","10.000","2310.000","-99.000","24.200","1305.000","17.700","116.000","2.400","-99.000"
"467480","2020-01-03 00:00:00","26.900","290.000","0.300","16.200","0.890","1019.600","0.000","1.400","290.000","2303.000","0.400","300.000","2305.000","0.000","24.600","1410.000","13.500","608.000","4.500","-99.000"
"467060","2020-01-03 00:00:00","24.900","270.000","2.500","17.300","0.940","1021.800","0.000","4.300","270.000","2327.000","3.000","270.000","2331.000","-99.000","21.600","1343.000","15.700","347.000","0.800","-99.000"
"D2F230","2020-01-03 00:00:00","1734.000","30.000","0.500","3.700","0.970","-99.000","0.000","1.300","30.000","2324.000","0.600","20.000","2324.000","-99.000","18.800","1401.000","0.900","613.000","-99.000","-99.000"
"466930","2020-01-03 00:00:00","607.100","20.000","1.100","14.000","0.810","953.400","0.000","6.800","20.000","2303.000","1.600","20.000","2303.000","-99.000","20.400","1347.000","12.300","314.000","8.000","-99.000"
"467590","2020-01-03 00:00:00","22.300","80.000","0.800","21.800","0.730","1020.400","0.000","8.300","70.000","2332.000","3.500","80.000","2337.000","0.000","24.600","1237.000","19.300","309.000","8.000","-99.000"
"CAAH60","2020-01-03 00:00:00","18.000","990.000","0.400","17.400","0.750","-99.000","0.000","2.500","20.000","2306.000","0.600","50.000","2301.000","-99.000","24.800","1356.000","15.600","455.000","-99.000","-99.000"
"467550","2020-01-03 00:00:00","3844.800","300.000","4.300","0.700","0.200","-99.000","0.000","8.800","330.000","2344.000","5.300","300.000","2351.000","0.000","11.500","1346.000","-1.600","313.000","10.800","-99.000"
"A0K420","2020-01-03 00:00:00","22.000","30.000","2.600","18.800","0.900","-99.000","0.000","6.100","30.000","2323.000","4.500","20.000","2302.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467660","2020-01-03 00:00:00","9.000","350.000","1.300","19.700","0.750","1023.600","0.000","4.300","10.000","2355.000","1.300","350.000","2355.000","0.000","23.700","1341.000","17.800","249.000","3.900","-99.000"
"A0Z080","2020-01-03 00:00:00","3171.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"466900","2020-01-03 00:00:00","19.000","150.000","1.900","19.600","0.650","1021.000","0.000","8.000","130.000","2309.000","2.300","130.000","2349.000","-99.000","24.500","1356.000","13.400","644.000","9.000","-99.000"
"A0A9M0","2020-01-03 00:00:00","24.058","0.000","0.100","13.700","0.980","1021.000","0.000","1.500","80.000","2324.000","0.700","100.000","2331.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"466990","2020-01-03 00:00:00","16.100","270.000","1.000","18.900","0.820","1022.700","-99.000","1.900","270.000","2351.000","1.300","260.000","2301.000","0.000","21.100","1518.000","18.600","2027.000","0.000","-99.000"
"467571","2020-01-03 00:00:00","26.900","70.000","1.100","16.200","0.830","1019.400","0.000","4.100","50.000","2301.000","1.600","70.000","2308.000","0.000","24.500","1332.000","12.300","559.000","9.400","-99.000"
"467490","2020-01-03 00:00:00","84.000","120.000","0.600","16.200","0.920","1012.900","0.000","1.300","60.000","2318.000","0.600","120.000","2400.000","0.000","24.700","1406.000","13.900","624.000","9.000","-99.000"
"467620","2020-01-03 00:00:00","324.000","20.000","5.500","18.800","0.800","986.300","1.000","13.900","40.000","2317.000","6.000","20.000","2308.000","0.000","22.300","1202.000","17.800","840.000","4.800","-99.000"
"467650","2020-01-03 00:00:00","1014.800","130.000","2.500","12.700","0.890","-99.000","0.000","3.400","120.000","2400.000","2.500","130.000","2400.000","0.000","21.500","1307.000","9.500","628.000","9.200","-99.000"
"467410","2020-01-03 00:00:00","13.800","0.000","0.100","18.600","0.840","1020.700","0.000","1.400","270.000","2329.000","0.200","0.000","2331.000","0.000","24.800","1323.000","15.900","558.000","7.000","-99.000"
"466940","2020-01-03 00:00:00","26.700","230.000","0.600","16.200","0.850","1020.900","0.000","1.800","200.000","2354.000","0.600","220.000","2359.000","0.000","23.000","1429.000","15.500","332.000","8.700","-99.000"
"467990","2020-01-03 00:00:00","97.842","360.000","2.800","13.800","0.900","1015.900","0.000","7.300","320.000","2348.000","2.900","360.000","2350.000","0.000","18.700","1247.000","12.100","316.000","6.100","-99.000"
"A2K570","2020-01-03 00:00:00","90.000","0.000","0.000","14.400","0.990","-99.000","0.000","0.000","0.000","2301.000","0.000","0.000","2301.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467610","2020-01-03 00:00:00","33.300","360.000","3.000","19.200","0.750","1020.100","0.000","5.200","360.000","2318.000","3.200","360.000","2357.000","0.000","24.300","1249.000","17.300","1.000","2.800","-99.000"
"467300","2020-01-03 00:00:00","44.500","10.000","5.600","19.400","0.870","1018.500","0.000","7.400","30.000","2313.000","5.900","30.000","2320.000","-99.000","20.900","1236.000","18.700","1.000","0.100","-99.000"
"A0C540","2020-01-03 00:00:00","1374.000","110.000","1.800","9.500","0.860","-99.000","0.000","2.100","120.000","2357.000","1.800","110.000","2400.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"468100","2020-01-03 00:00:00","4.000","60.000","5.000","22.400","0.820","1022.300","0.000","9.200","70.000","2314.000","5.800","70.000","2314.000","-99.000","24.900","1136.000","21.500","432.000","-99.000","-99.000"
"467440","2020-01-03 00:00:00","2.300","30.000","0.900","19.400","0.820","1023.200","0.000","1.700","350.000","2302.000","1.300","350.000","2301.000","0.000","24.000","1149.000","18.500","505.000","8.800","-99.000"
"467420","2020-01-03 00:00:00","8.100","0.000","0.000","17.500","0.830","1022.000","0.000","1.100","340.000","2315.000","0.200","0.000","2320.000","-99.000","24.300","1339.000","14.900","628.000","5.200","-99.000"
"466950","2020-01-03 00:00:00","99.000","90.000","5.400","18.600","0.680","1012.800","0.000","9.400","90.000","2315.000","5.800","80.000","2315.000","-99.000","20.400","1142.000","16.900","146.000","9.800","-99.000"
"466880","2020-01-03 00:00:00","11.000","60.000","3.800","18.500","0.770","1022.300","0.000","6.800","60.000","2345.000","3.800","60.000","2341.000","-99.000","24.900","1354.000","16.500","544.000","5.900","-99.000"
"467350","2020-01-03 00:00:00","10.700","10.000","2.400","17.500","0.990","1022.200","0.000","5.200","10.000","2311.000","2.900","20.000","2307.000","0.000","19.700","1057.000","17.100","52.000","0.200","-99.000"
