"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"CAG010","2020-09-23 00:00:00","28.000","10.000","1.800","25.300","0.660","-99.000","0.000","4.500","10.000","2308.000","3.200","20.000","2301.000","-99.000","32.700","1254.000","24.300","551.000","-99.000","-99.000"
"A0T780","2020-09-23 00:00:00","83.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAG040","2020-09-23 00:00:00","35.000","20.000","3.600","24.500","0.760","-99.000","0.000","6.000","20.000","2303.000","4.000","20.000","2308.000","-99.000","30.100","1244.000","23.600","603.000","-99.000","-99.000"
"A0G720","2020-09-23 00:00:00","37.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"A0W030","2020-09-23 00:00:00","6.000","40.000","2.800","26.700","0.840","-99.000","0.000","7.100","80.000","2306.000","2.900","70.000","2314.000","-99.000","30.700","1050.000","24.900","546.000","-99.000","-99.000"
"CAF030","2020-09-23 00:00:00","195.000","360.000","2.100","23.800","0.780","-99.000","0.000","4.300","10.000","2316.000","2.600","360.000","2342.000","-99.000","31.100","1241.000","22.600","431.000","-99.000","-99.000"
"A0K420","2020-09-23 00:00:00","22.000","30.000","5.600","26.300","0.750","-99.000","0.000","11.400","360.000","2307.000","6.300","30.000","2301.000","-99.000","30.500","1214.000","25.300","234.000","-99.000","-99.000"
"CAF040","2020-09-23 00:00:00","54.000","20.000","0.900","25.000","0.750","-99.000","0.000","4.300","30.000","2332.000","1.600","40.000","2335.000","-99.000","33.200","1145.000","23.800","339.000","-99.000","-99.000"
"CAF020","2020-09-23 00:00:00","209.000","20.000","2.400","23.800","0.820","-99.000","0.000","4.300","10.000","2327.000","3.000","10.000","2330.000","-99.000","31.300","1154.000","22.600","352.000","-99.000","-99.000"
"D2F230","2020-09-23 00:00:00","1734.000","220.000","0.500","18.400","0.910","-99.000","0.000","2.300","210.000","2354.000","0.800","200.000","2355.000","-99.000","26.800","1300.000","13.500","613.000","-99.000","-99.000"
"CAF090","2020-09-23 00:00:00","130.000","20.000","1.000","23.600","0.750","-99.000","0.000","3.200","360.000","2328.000","1.800","10.000","2330.000","-99.000","30.600","1252.000","22.800","520.000","-99.000","-99.000"
"CAG050","2020-09-23 00:00:00","60.000","330.000","1.300","24.500","0.700","-99.000","0.000","3.900","350.000","2307.000","2.700","350.000","2301.000","-99.000","30.800","1232.000","23.500","542.000","-99.000","-99.000"
