"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"467080","2020-03-06 00:00:00","7.400","260.000","1.900","14.700","0.890","1021.100","13.500","4.500","240.000","2319.000","2.900","250.000","2301.000","0.000","16.600","1.000","14.300","502.000","0.000","-99.000"
"A2K570","2020-03-06 00:00:00","90.000","20.000","1.000","15.400","0.990","-99.000","5.000","1.900","320.000","2307.000","1.100","310.000","2301.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467610","2020-03-06 00:00:00","33.300","30.000","3.000","17.700","0.780","1016.000","-99.000","6.400","20.000","2301.000","3.700","20.000","2301.000","0.000","21.800","1015.000","16.800","1915.000","0.100","-99.000"
"467300","2020-03-06 00:00:00","44.500","30.000","12.000","19.800","0.780","1013.600","0.000","17.500","40.000","2316.000","13.200","30.000","2305.000","-99.000","21.100","1119.000","18.500","554.000","1.100","-99.000"
"A0C540","2020-03-06 00:00:00","1374.000","120.000","3.600","7.600","0.960","-99.000","23.500","5.900","130.000","2306.000","4.100","120.000","2313.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"468100","2020-03-06 00:00:00","4.000","40.000","6.800","21.500","0.860","1017.700","0.000","13.300","50.000","2320.000","7.900","40.000","2341.000","-99.000","23.800","1012.000","20.400","1639.000","-99.000","-99.000"
"467440","2020-03-06 00:00:00","2.300","340.000","3.000","20.300","0.680","1017.900","0.000","5.000","350.000","2303.000","3.800","350.000","2304.000","0.000","25.600","1337.000","18.700","639.000","2.700","-99.000"
"A0T780","2020-03-06 00:00:00","83.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467770","2020-03-06 00:00:00","7.200","350.000","3.200","15.200","0.760","1016.000","4.500","8.400","10.000","2312.000","4.600","360.000","2324.000","-99.000","18.200","1352.000","12.900","446.000","1.000","-99.000"
"467530","2020-03-06 00:00:00","2413.400","220.000","0.900","6.800","1.000","-99.000","14.000","3.500","270.000","2308.000","1.300","250.000","2316.000","-99.000","10.400","1157.000","6.800","2326.000","0.000","-99.000"
"A0G720","2020-03-06 00:00:00","37.000","320.000","0.900","15.400","0.830","-99.000","4.000","2.000","300.000","-99.000","1.300","320.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467050","2020-03-06 00:00:00","20.600","50.000","7.500","14.700","0.820","1017.700","9.000","12.400","50.000","2328.000","8.300","50.000","2341.000","0.000","16.600","1327.000","13.400","603.000","0.000","-99.000"
"A0W030","2020-03-06 00:00:00","6.000","30.000","3.000","12.100","0.720","-99.000","3.500","8.000","50.000","2327.000","3.300","40.000","2315.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467110","2020-03-06 00:00:00","48.000","60.000","3.800","12.000","0.720","1019.600","5.000","9.900","70.000","2322.000","4.500","60.000","2324.000","0.000","17.500","1452.000","10.100","429.000","1.800","-99.000"
"A0W080","2020-03-06 00:00:00","3.000","30.000","9.900","17.800","0.800","-99.000","0.000","17.500","40.000","2303.000","11.900","30.000","2309.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
