"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"469020","2020-08-22 00:00:00","4.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAE070","2020-08-22 00:00:00","77.000","190.000","1.300","28.800","0.770","-99.000","0.000","4.000","220.000","2330.000","2.000","200.000","2323.000","-99.000","33.700","1556.000","25.700","401.000","-99.000","-99.000"
"CAF010","2020-08-22 00:00:00","150.000","190.000","3.200","28.300","0.790","-99.000","0.000","8.000","190.000","2313.000","5.000","180.000","2319.000","-99.000","32.600","1552.000","26.200","431.000","-99.000","-99.000"
"467480","2020-08-22 00:00:00","26.900","190.000","2.100","28.200","0.700","1003.500","0.000","5.300","180.000","2317.000","2.600","170.000","2346.000","0.000","35.400","1325.000","25.400","537.000","7.700","-99.000"
"CAD010","2020-08-22 00:00:00","36.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAE010","2020-08-22 00:00:00","266.000","90.000","0.600","26.800","0.830","-99.000","0.000","3.100","240.000","2303.000","1.000","230.000","2304.000","-99.000","33.200","1551.000","24.300","454.000","-99.000","-99.000"
"CAF060","2020-08-22 00:00:00","117.000","180.000","1.300","28.100","0.680","-99.000","0.000","5.200","170.000","2335.000","1.800","180.000","2335.000","-99.000","32.200","1609.000","26.500","427.000","-99.000","-99.000"
"CAE040","2020-08-22 00:00:00","97.000","100.000","1.800","26.600","0.880","-99.000","1.000","3.700","60.000","2317.000","2.400","60.000","2318.000","-99.000","34.700","1601.000","25.300","546.000","-99.000","-99.000"
"CAE060","2020-08-22 00:00:00","28.000","170.000","2.900","28.600","0.800","-99.000","0.000","4.400","170.000","2358.000","2.900","170.000","2359.000","-99.000","33.100","1641.000","26.800","518.000","-99.000","-99.000"
"CAAH60","2020-08-22 00:00:00","18.000","320.000","0.400","28.400","0.730","-99.000","-99.000","3.000","40.000","2333.000","0.800","990.000","2338.000","-99.000","34.500","1404.000","-99.000","-99.000","-99.000","-99.000"
"467660","2020-08-22 00:00:00","9.000","330.000","1.100","27.000","0.800","1005.600","4.000","3.000","360.000","2356.000","1.300","290.000","2318.000","0.000","31.900","1046.000","25.900","1732.000","5.000","-99.000"
"466920","2020-08-22 00:00:00","6.255","100.000","1.700","29.300","0.700","1004.500","0.000","6.000","70.000","2309.000","3.400","110.000","2330.000","0.000","35.500","1348.000","28.700","414.000","10.600","-99.000"
"CAE080","2020-08-22 00:00:00","64.000","80.000","0.500","27.800","0.840","-99.000","0.000","2.400","30.000","2343.000","1.300","30.000","2336.000","-99.000","34.900","1533.000","25.000","231.000","-99.000","-99.000"
"A0W080","2020-08-22 00:00:00","3.000","330.000","2.900","-99.000","1.000","-99.000","0.000","5.300","10.000","2311.000","3.600","330.000","2347.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467050","2020-08-22 00:00:00","20.600","70.000","2.800","28.300","0.680","1005.700","0.000","5.600","80.000","2353.000","3.000","70.000","2354.000","0.000","35.500","1159.000","26.900","509.000","12.000","-99.000"
"CAF050","2020-08-22 00:00:00","85.000","180.000","1.700","28.600","0.790","-99.000","0.000","4.800","200.000","2316.000","3.700","190.000","2302.000","-99.000","34.000","1133.000","25.300","525.000","-99.000","-99.000"
"CAL010","2020-08-22 00:00:00","46.000","190.000","3.600","27.700","0.830","-99.000","0.000","5.500","180.000","2358.000","3.700","190.000","2302.000","-99.000","34.700","1319.000","25.700","516.000","-99.000","-99.000"
"467530","2020-08-22 00:00:00","2413.400","170.000","1.200","13.100","1.000","-99.000","1.000","2.200","280.000","2312.000","1.400","260.000","2343.000","-99.000","27.900","1220.000","9.900","509.000","5.500","-99.000"
"467770","2020-08-22 00:00:00","7.200","140.000","1.600","28.900","0.750","1004.100","0.000","7.800","160.000","2302.000","4.500","150.000","2345.000","-99.000","32.500","1104.000","27.900","447.000","10.000","-99.000"
