"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"467540","2020-03-24 00:00:00","8.100","30.000","3.300","23.900","0.750","1015.200","0.000","8.000","50.000","2306.000","4.000","30.000","2310.000","-99.000","28.900","1155.000","22.700","239.000","4.600","-99.000"
"467480","2020-03-24 00:00:00","26.900","110.000","1.200","21.100","0.830","1010.900","0.000","2.500","110.000","2348.000","1.600","100.000","2351.000","0.000","29.700","1228.000","19.800","538.000","7.000","-99.000"
"467060","2020-03-24 00:00:00","24.900","240.000","2.500","19.100","0.870","1014.100","15.000","3.900","240.000","2344.000","2.600","240.000","2356.000","-99.000","22.800","1.000","19.100","2345.000","0.000","-99.000"
"466880","2020-03-24 00:00:00","11.000","50.000","3.400","19.500","0.880","1014.000","1.000","6.800","30.000","2339.000","3.400","50.000","2340.000","-99.000","24.000","1.000","18.600","2253.000","0.000","-99.000"
"467350","2020-03-24 00:00:00","10.700","10.000","4.100","21.900","0.910","1014.100","0.000","8.800","20.000","2308.000","4.800","40.000","2301.000","0.000","25.900","1045.000","21.100","2052.000","0.400","-99.000"
"A0W100","2020-03-24 00:00:00","2.000","40.000","7.000","16.900","0.730","-99.000","6.000","10.800","40.000","2333.000","7.900","30.000","2321.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467990","2020-03-24 00:00:00","97.842","20.000","3.000","13.800","0.750","1009.400","1.500","8.700","360.000","2340.000","3.500","10.000","2348.000","0.000","18.400","1202.000","12.300","1736.000","1.800","-99.000"
"A0Z080","2020-03-24 00:00:00","3171.000","280.000","6.000","6.100","0.980","-99.000","0.000","16.200","310.000","2350.000","6.900","280.000","2354.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"466900","2020-03-24 00:00:00","19.000","280.000","0.800","18.200","0.940","1014.400","1.000","10.600","160.000","2306.000","4.600","160.000","2302.000","-99.000","22.700","1145.000","17.600","2356.000","0.000","-99.000"
"A0A9M0","2020-03-24 00:00:00","24.058","140.000","2.100","19.400","0.850","1013.000","2.000","6.600","110.000","2359.000","2.800","130.000","2338.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
