"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"467660","2020-04-13 00:00:00","9.000","330.000","1.200","16.700","0.840","1016.300","6.000","4.700","340.000","2352.000","1.600","320.000","2353.000","0.000","23.000","541.000","16.300","2254.000","0.200","-99.000"
"A0K420","2020-04-13 00:00:00","22.000","30.000","7.500","17.700","0.430","-99.000","1.000","12.300","40.000","2340.000","8.100","30.000","2349.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467550","2020-04-13 00:00:00","3844.800","270.000","8.700","-4.600","-99.000","-99.000","9.000","20.400","300.000","2354.000","10.300","260.000","2323.000","0.000","3.600","1458.000","-8.500","1941.000","1.300","-99.000"
"CAAH60","2020-04-13 00:00:00","18.000","0.000","0.000","9.700","0.910","-99.000","8.000","0.400","290.000","2329.000","0.000","0.000","2301.000","-99.000","18.000","108.000","9.600","2324.000","-99.000","-99.000"
"467590","2020-04-13 00:00:00","22.300","50.000","6.100","19.100","0.830","1013.400","0.000","13.500","50.000","2335.000","6.100","50.000","2400.000","0.000","25.000","1027.000","19.000","2353.000","0.000","-99.000"
"466930","2020-04-13 00:00:00","607.100","60.000","0.900","7.300","0.800","948.400","3.000","2.000","40.000","2321.000","1.100","50.000","2323.000","-99.000","15.100","4.000","7.300","2352.000","2.200","-99.000"
"D2F230","2020-04-13 00:00:00","1734.000","10.000","0.300","3.300","0.910","-99.000","3.500","1.500","300.000","2306.000","0.700","30.000","2301.000","-99.000","16.300","1122.000","3.300","2400.000","-99.000","-99.000"
"467060","2020-04-13 00:00:00","24.900","310.000","2.200","15.800","0.430","1014.900","3.500","8.700","330.000","2345.000","4.100","310.000","2318.000","-99.000","20.200","209.000","14.600","2355.000","0.000","-99.000"
"469020","2020-04-13 00:00:00","4.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467480","2020-04-13 00:00:00","26.900","360.000","1.200","12.500","0.720","1014.100","3.000","3.000","360.000","2347.000","1.800","360.000","2301.000","0.000","24.400","1045.000","12.400","2338.000","5.900","-99.000"
"467540","2020-04-13 00:00:00","8.100","990.000","0.600","18.300","0.770","1016.000","5.000","4.500","280.000","2343.000","2.700","20.000","2302.000","-99.000","24.000","654.000","17.900","2314.000","0.000","-99.000"
"467080","2020-04-13 00:00:00","7.400","260.000","1.400","11.300","0.770","1017.500","0.500","4.400","300.000","2322.000","2.000","260.000","2322.000","0.000","20.400","25.000","11.300","2321.000","0.900","-99.000"
"A0A9M0","2020-04-13 00:00:00","24.058","130.000","0.700","8.900","0.950","1017.000","14.500","2.100","170.000","2349.000","0.800","110.000","2354.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"466910","2020-04-13 00:00:00","832.600","360.000","2.700","6.800","0.720","-99.000","12.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","0.000","14.000","112.000","6.100","2321.000","2.200","-99.000"
"A0W080","2020-04-13 00:00:00","3.000","20.000","7.200","18.100","0.450","-99.000","0.500","13.000","50.000","2347.000","8.400","20.000","2333.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467420","2020-04-13 00:00:00","8.100","360.000","4.000","15.300","0.520","1016.000","2.500","7.900","10.000","2312.000","5.200","360.000","2301.000","-99.000","25.000","1127.000","15.300","2400.000","8.300","-99.000"
"466950","2020-04-13 00:00:00","99.000","320.000","7.100","16.800","0.350","1006.000","0.000","12.300","320.000","2308.000","8.300","320.000","2308.000","-99.000","17.400","2324.000","14.600","1052.000","2.200","-99.000"
"466880","2020-04-13 00:00:00","11.000","200.000","1.500","11.700","0.870","1017.700","10.000","3.100","230.000","2341.000","1.900","230.000","2345.000","-99.000","18.500","1.000","11.400","2356.000","1.100","-99.000"
"467350","2020-04-13 00:00:00","10.700","20.000","4.900","18.600","0.490","1016.900","2.000","11.300","360.000","2310.000","6.000","10.000","2310.000","0.000","21.500","1136.000","18.000","2014.000","4.500","-99.000"
"A0W100","2020-04-13 00:00:00","2.000","340.000","1.200","15.600","0.760","-99.000","0.000","3.300","350.000","2341.000","2.400","10.000","2301.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"467990","2020-04-13 00:00:00","97.842","280.000","3.700","13.600","0.780","1009.200","1.500","5.300","290.000","2345.000","3.800","280.000","2353.000","0.000","18.600","1257.000","12.200","700.000","5.800","-99.000"
"A0Z080","2020-04-13 00:00:00","3171.000","290.000","6.700","-3.400","-99.000","-99.000","18.000","15.400","20.000","2310.000","9.100","290.000","2311.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"466900","2020-04-13 00:00:00","19.000","130.000","1.100","11.800","0.810","1017.300","2.500","2.500","120.000","2312.000","1.300","130.000","2321.000","-99.000","18.600","47.000","11.300","2337.000","1.900","-99.000"
"466990","2020-04-13 00:00:00","16.100","240.000","2.500","16.000","0.860","1014.700","7.500","6.400","240.000","2310.000","4.700","240.000","2312.000","0.000","21.500","1.000","16.000","1807.000","0.000","-99.000"
"467571","2020-04-13 00:00:00","26.900","110.000","0.800","12.100","0.690","1015.800","1.000","2.700","80.000","2314.000","1.300","100.000","2312.000","0.000","18.400","27.000","12.000","2353.000","2.100","-99.000"
"467490","2020-04-13 00:00:00","84.000","360.000","2.500","16.600","0.420","1007.700","1.500","5.900","350.000","2349.000","2.900","360.000","2356.000","0.000","22.100","1109.000","15.600","2315.000","6.600","-99.000"
"467620","2020-04-13 00:00:00","324.000","360.000","5.000","17.200","0.750","978.900","11.500","17.800","40.000","2349.000","7.100","10.000","2351.000","0.000","22.500","337.000","15.900","1816.000","0.000","-99.000"
