"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"CAE070","2020-10-24 00:00:00","77.000","30.000","7.200","21.000","0.670","-99.000","7.500","13.600","10.000","2348.000","8.300","30.000","2312.000","-99.000","21.000","1454.000","17.300","931.000","-99.000","-99.000"
"CAF010","2020-10-24 00:00:00","150.000","360.000","1.800","19.600","0.720","-99.000","2.500","6.900","350.000","2303.000","3.100","360.000","2309.000","-99.000","20.700","1549.000","17.800","932.000","-99.000","-99.000"
"CAD010","2020-10-24 00:00:00","36.000","50.000","9.100","21.300","0.660","-99.000","5.500","17.700","50.000","2323.000","9.300","50.000","2356.000","-99.000","21.300","2320.000","17.500","930.000","-99.000","-99.000"
"CAE010","2020-10-24 00:00:00","266.000","20.000","1.600","18.600","0.740","-99.000","16.500","5.500","30.000","2315.000","2.100","30.000","2316.000","-99.000","19.100","1513.000","15.400","943.000","-99.000","-99.000"
"CAF060","2020-10-24 00:00:00","117.000","40.000","5.500","20.300","0.530","-99.000","3.500","13.600","40.000","2348.000","8.400","30.000","2325.000","-99.000","20.800","1522.000","17.300","937.000","-99.000","-99.000"
"CAE040","2020-10-24 00:00:00","97.000","30.000","5.700","20.500","0.670","-99.000","14.500","11.600","30.000","2339.000","6.000","30.000","2346.000","-99.000","20.800","1440.000","17.000","923.000","-99.000","-99.000"
"CAE060","2020-10-24 00:00:00","28.000","60.000","12.000","21.500","0.670","-99.000","4.000","19.300","50.000","2358.000","12.000","60.000","2359.000","-99.000","21.500","2356.000","18.300","947.000","-99.000","-99.000"
"CAAH60","2020-10-24 00:00:00","18.000","990.000","0.500","21.100","0.720","-99.000","4.000","3.800","130.000","2302.000","0.800","70.000","2305.000","-99.000","21.300","1351.000","17.700","805.000","-99.000","-99.000"
"CAE080","2020-10-24 00:00:00","64.000","30.000","8.000","21.000","0.700","-99.000","11.000","15.000","40.000","2352.000","8.600","30.000","2346.000","-99.000","21.000","1400.000","17.300","938.000","-99.000","-99.000"
"A0W080","2020-10-24 00:00:00","3.000","330.000","15.800","22.400","0.710","-99.000","0.500","24.600","120.000","2317.000","17.300","230.000","2302.000","-99.000","23.700","1202.000","21.000","113.000","-99.000","-99.000"
"CAF050","2020-10-24 00:00:00","85.000","340.000","2.200","20.500","0.740","-99.000","0.000","4.000","340.000","2302.000","3.200","340.000","2306.000","-99.000","22.300","1629.000","19.800","800.000","-99.000","-99.000"
"CAL010","2020-10-24 00:00:00","46.000","360.000","2.200","20.500","0.790","-99.000","0.000","3.900","360.000","2342.000","2.700","360.000","2349.000","-99.000","23.500","1102.000","19.800","117.000","-99.000","-99.000"
"CAF080","2020-10-24 00:00:00","208.000","30.000","6.200","19.500","0.730","-99.000","2.000","11.000","20.000","2336.000","6.900","30.000","2303.000","-99.000","20.200","1536.000","16.800","951.000","-99.000","-99.000"
"CAE090","2020-10-24 00:00:00","89.000","40.000","6.200","20.500","0.670","-99.000","4.500","11.600","30.000","2320.000","6.700","30.000","2327.000","-99.000","20.800","1506.000","17.300","932.000","-99.000","-99.000"
"CAE050","2020-10-24 00:00:00","339.000","40.000","6.800","18.600","0.930","-99.000","11.000","11.100","50.000","2330.000","6.800","40.000","2323.000","-99.000","19.000","1513.000","15.900","934.000","-99.000","-99.000"
"A2K570","2020-10-24 00:00:00","90.000","40.000","0.400","20.000","0.990","-99.000","0.000","1.700","40.000","2352.000","0.900","350.000","2310.000","-99.000","24.600","1105.000","18.800","510.000","-99.000","-99.000"
"CAE030","2020-10-24 00:00:00","76.000","20.000","4.500","21.000","0.490","-99.000","15.000","9.600","20.000","2316.000","4.800","30.000","2352.000","-99.000","21.000","1446.000","17.000","858.000","-99.000","-99.000"
"CAG060","2020-10-24 00:00:00","48.000","350.000","2.900","20.800","0.680","-99.000","0.000","7.500","10.000","2306.000","4.500","10.000","2315.000","-99.000","22.000","1556.000","19.300","802.000","-99.000","-99.000"
