"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"469020","2020-09-15 00:00:00","4.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAE070","2020-09-15 00:00:00","77.000","70.000","1.600","26.200","0.930","-99.000","0.000","2.700","80.000","2324.000","1.800","40.000","2301.000","-99.000","31.500","1030.000","25.200","450.000","-99.000","-99.000"
"CAF010","2020-09-15 00:00:00","150.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000"
"CAD010","2020-09-15 00:00:00","36.000","160.000","1.200","25.800","0.950","-99.000","0.000","2.100","190.000","2312.000","1.500","160.000","2323.000","-99.000","32.200","1318.000","25.800","2322.000","-99.000","-99.000"
"CAE010","2020-09-15 00:00:00","266.000","0.000","0.200","25.000","0.940","-99.000","0.000","1.300","50.000","2310.000","0.600","50.000","2315.000","-99.000","32.000","1151.000","24.000","408.000","-99.000","-99.000"
"CAF060","2020-09-15 00:00:00","117.000","120.000","1.500","26.200","0.800","-99.000","0.000","3.500","90.000","2324.000","2.600","90.000","2325.000","-99.000","30.100","1159.000","25.200","551.000","-99.000","-99.000"
"CAE040","2020-09-15 00:00:00","97.000","150.000","1.500","26.800","0.870","-99.000","0.000","2.400","80.000","2302.000","1.500","150.000","2359.000","-99.000","32.200","1047.000","25.300","532.000","-99.000","-99.000"
"CAE060","2020-09-15 00:00:00","28.000","20.000","3.200","27.800","0.890","-99.000","0.000","5.300","40.000","2344.000","3.200","20.000","2346.000","-99.000","29.500","1427.000","27.300","2158.000","-99.000","-99.000"
"CAAH60","2020-09-15 00:00:00","18.000","0.000","0.000","26.700","0.900","-99.000","0.000","1.600","140.000","2344.000","0.300","140.000","2329.000","-99.000","33.100","1128.000","24.700","538.000","-99.000","-99.000"
"CAE080","2020-09-15 00:00:00","64.000","10.000","0.300","25.700","0.950","-99.000","0.000","2.000","30.000","2332.000","0.600","100.000","2326.000","-99.000","32.500","1057.000","24.800","556.000","-99.000","-99.000"
"A0W080","2020-09-15 00:00:00","3.000","30.000","5.100","27.100","0.850","-99.000","0.000","8.600","80.000","2325.000","5.800","40.000","2301.000","-99.000","30.800","1251.000","26.400","2201.000","-99.000","-99.000"
"CAF050","2020-09-15 00:00:00","85.000","160.000","2.200","27.000","0.910","-99.000","0.000","3.200","170.000","2346.000","2.400","170.000","2349.000","-99.000","34.100","1306.000","25.000","537.000","-99.000","-99.000"
"CAL010","2020-09-15 00:00:00","46.000","360.000","0.500","27.000","0.910","-99.000","0.000","1.800","350.000","2317.000","1.000","340.000","2301.000","-99.000","34.000","1355.000","25.100","427.000","-99.000","-99.000"
"CAF080","2020-09-15 00:00:00","208.000","50.000","2.500","25.300","0.950","-99.000","0.000","3.700","50.000","0.000","2.500","50.000","0.000","-99.000","31.000","1315.000","24.800","128.000","-99.000","-99.000"
