"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","24R","H_FX","H_XD","H_FXT","H_F10","H_10D","H_F10T","H_UVI","D_TX","D_TXT","D_TN","D_TNT","D_TS","H_VIS"
"CAF030","2020-10-07 00:00:00","195.000","30.000","3.900","21.800","0.760","-99.000","0.000","6.400","20.000","2358.000","4.500","30.000","2301.000","-99.000","28.800","1259.000","21.800","2319.000","-99.000","-99.000"
"CAE070","2020-10-07 00:00:00","77.000","30.000","7.800","22.800","0.710","-99.000","0.000","13.500","20.000","2323.000","8.300","30.000","2320.000","-99.000","27.300","1128.000","22.500","244.000","-99.000","-99.000"
"CAF010","2020-10-07 00:00:00","150.000","360.000","2.400","22.000","0.750","-99.000","0.000","8.100","360.000","2340.000","3.500","360.000","2335.000","-99.000","28.500","1140.000","22.000","2249.000","-99.000","-99.000"
"CAD010","2020-10-07 00:00:00","36.000","50.000","5.800","23.100","0.690","-99.000","0.000","15.100","50.000","2303.000","7.500","50.000","2304.000","-99.000","27.000","1342.000","22.300","357.000","-99.000","-99.000"
"CAE010","2020-10-07 00:00:00","266.000","30.000","1.600","20.500","0.790","-99.000","0.000","6.300","10.000","2347.000","2.200","30.000","2309.000","-99.000","26.100","1139.000","20.500","2332.000","-99.000","-99.000"
"CAF060","2020-10-07 00:00:00","117.000","40.000","5.400","22.500","0.560","-99.000","0.000","12.300","30.000","2307.000","6.800","40.000","2308.000","-99.000","27.200","1103.000","22.300","615.000","-99.000","-99.000"
"CAE040","2020-10-07 00:00:00","97.000","20.000","5.000","22.300","0.710","-99.000","0.000","11.000","30.000","2311.000","6.000","30.000","2320.000","-99.000","27.100","1139.000","22.100","545.000","-99.000","-99.000"
"CAE060","2020-10-07 00:00:00","28.000","60.000","7.500","23.500","0.680","-99.000","0.000","14.900","70.000","2322.000","10.000","60.000","2333.000","-99.000","26.700","1512.000","22.500","321.000","-99.000","-99.000"
"CAAH60","2020-10-07 00:00:00","18.000","160.000","0.500","22.300","0.800","-99.000","0.500","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","25.100","1609.000","-99.000","-99.000","-99.000","-99.000"
"CAE080","2020-10-07 00:00:00","64.000","30.000","6.400","23.100","0.710","-99.000","0.000","13.100","20.000","2304.000","7.800","30.000","2319.000","-99.000","27.300","1244.000","22.300","231.000","-99.000","-99.000"
"A0W080","2020-10-07 00:00:00","3.000","40.000","14.300","24.600","0.750","-99.000","0.000","22.800","70.000","2343.000","15.300","40.000","2351.000","-99.000","27.300","1122.000","24.500","249.000","-99.000","-99.000"
"CAF050","2020-10-07 00:00:00","85.000","360.000","2.700","23.500","0.700","-99.000","0.000","6.400","360.000","2307.000","4.500","360.000","2312.000","-99.000","29.700","1309.000","23.300","552.000","-99.000","-99.000"
"CAL010","2020-10-07 00:00:00","46.000","10.000","1.800","23.000","0.770","-99.000","0.000","4.800","20.000","2331.000","2.700","360.000","2325.000","-99.000","30.500","1242.000","23.000","310.000","-99.000","-99.000"
"CAF080","2020-10-07 00:00:00","208.000","40.000","7.200","21.800","0.770","-99.000","0.000","11.000","40.000","2302.000","7.900","40.000","2326.000","-99.000","27.700","1318.000","21.500","214.000","-99.000","-99.000"
"CAE090","2020-10-07 00:00:00","89.000","40.000","5.800","22.300","0.720","-99.000","0.000","13.100","50.000","2313.000","7.300","40.000","2313.000","-99.000","27.000","1121.000","22.300","322.000","-99.000","-99.000"
"CAE050","2020-10-07 00:00:00","339.000","40.000","5.000","20.600","0.720","-99.000","0.000","10.500","40.000","2311.000","6.800","40.000","2311.000","-99.000","26.600","1210.000","20.600","2251.000","-99.000","-99.000"
"A2K570","2020-10-07 00:00:00","90.000","0.000","0.000","21.200","0.990","-99.000","0.000","0.100","0.000","2321.000","0.200","0.000","2301.000","-99.000","31.100","1252.000","20.700","2255.000","-99.000","-99.000"
"CAE030","2020-10-07 00:00:00","76.000","20.000","3.900","22.700","0.540","-99.000","0.000","9.900","20.000","2355.000","4.900","30.000","2311.000","-99.000","27.300","1219.000","22.300","417.000","-99.000","-99.000"
"CAG060","2020-10-07 00:00:00","48.000","20.000","4.200","23.100","0.730","-99.000","0.000","9.100","10.000","2302.000","5.800","10.000","2306.000","-99.000","29.700","1145.000","23.100","2352.000","-99.000","-99.000"
"CAF070","2020-10-07 00:00:00","181.000","30.000","7.900","22.200","0.720","-99.000","0.000","14.100","50.000","2301.000","8.300","40.000","2309.000","-99.000","27.600","1138.000","21.800","155.000","-99.000","-99.000"
"CAG030","2020-10-07 00:00:00","33.000","360.000","3.200","22.600","0.750","-99.000","0.000","6.200","360.000","2317.000","4.300","360.000","2306.000","-99.000","29.300","1143.000","22.600","2350.000","-99.000","-99.000"
"CAH020","2020-10-07 00:00:00","93.000","330.000","2.600","22.500","0.790","-99.000","0.000","4.000","350.000","2301.000","2.700","340.000","2346.000","-99.000","29.800","1219.000","22.200","551.000","-99.000","-99.000"
"A0Z080","2020-10-07 00:00:00","3171.000","280.000","1.800","8.100","0.610","-99.000","0.000","4.700","300.000","2302.000","3.500","280.000","2301.000","-99.000","16.500","1000.000","6.800","524.000","-99.000","-99.000"
"A0W100","2020-10-07 00:00:00","2.000","30.000","9.600","24.100","0.720","-99.000","0.000","13.300","30.000","2355.000","9.700","30.000","2357.000","-99.000","26.000","1320.000","23.300","601.000","-99.000","-99.000"
"CAH010","2020-10-07 00:00:00","109.000","320.000","2.200","22.500","0.760","-99.000","0.000","4.400","330.000","2314.000","3.100","330.000","2304.000","-99.000","29.800","1250.000","22.500","504.000","-99.000","-99.000"
"CAG050","2020-10-07 00:00:00","60.000","10.000","1.600","22.800","0.690","-99.000","0.000","7.300","10.000","2322.000","4.000","360.000","2327.000","-99.000","28.500","1259.000","22.800","356.000","-99.000","-99.000"
"CAF090","2020-10-07 00:00:00","130.000","30.000","2.100","22.100","0.730","-99.000","0.000","8.600","30.000","2308.000","4.300","30.000","2315.000","-99.000","27.700","1250.000","22.000","429.000","-99.000","-99.000"
"D2F230","2020-10-07 00:00:00","1734.000","0.000","0.000","11.400","0.960","-99.000","0.000","0.900","50.000","2334.000","0.200","0.000","2334.000","-99.000","23.600","1154.000","10.200","551.000","-99.000","-99.000"
