"station_id","station_name","lon","lat","city","city_sn","town","town_sn"
"C0U520","雙連埤","121.633056","24.754722","宜蘭縣","07","員山鄉","074"
"C0E850","大河","120.94055","24.619833","苗栗縣","11","三灣鄉","088"
"C0W130","花嶼","119.314667","23.401778","澎湖縣","23","望安鄉","231"
"C0E750","苗栗","120.816444","24.566667","苗栗縣","11","苗栗市","096"
"C0T9B0","水源","121.529167","23.993611","花蓮縣","21","秀林鄉","108"
"C0R400","楓港","120.684722","22.191667","屏東縣","20","枋山鄉","346"
"C0F9X0","大雅(中科園區)","120.616239","24.217056","臺中市","02","大雅區","121"
"C0F9R0","龍井","120.520833","24.186278","臺中市","02","龍井區","115"
"C0G650","員林","120.577528","23.948333","彰化縣","14","員林市","156"
"C0R130","阿禮","120.735556","22.744444","屏東縣","20","霧臺鄉","292"
"C0K530","臺西","120.189422","23.703283","雲林縣","16","臺西鄉","187"
"C0K580","高鐵雲林","120.409817","23.739206","雲林縣","16","虎尾鎮","190"
"C0V660","岡山","120.286889","22.798844","高雄市","05","岡山區","294"
"C0UA50","西帽山","121.794436","24.557164","宜蘭縣","07","南澳鄉","093"
"C0AH30","五分山","121.772586","25.073047","新北市","06","瑞芳區","018"
"C0G780","秀水","120.495722","24.035917","彰化縣","14","秀水鄉","144"
"C0F0D0","審馬陣A","121.412122","24.383461","臺中市","02","和平區","104"
"C0C590","觀音","121.145111","25.028861","桃園市","08","觀音區","032"
"C0K291","宜梧","120.1612","23.538014","雲林縣","16","口湖鄉","201"
"C0T960","光復","121.416839","23.662497","花蓮縣","21","光復鄉","194"
"C0D480","打鐵坑","121.142611","24.85175","新竹縣","10","新埔鎮","063"
"C0M830","山美","120.660108","23.385575","嘉義縣","17","阿里山鄉","208"
"C0E780","銅鑼","120.782639","24.491528","苗栗縣","11","銅鑼鄉","100"
"C0K510","水林","120.237839","23.574658","雲林縣","16","水林鄉","204"
"C0S730","綠島","121.467267","22.669025","臺東縣","22","綠島鄉","315"
"C0G850","田中","120.580444","23.858722","彰化縣","14","田中鎮","170"
"C0V750","路竹","120.251361","22.856639","高雄市","05","路竹區","288"
"C0V360","內門","120.458333","22.976944","高雄市","05","內門區","270"
"C0U600","礁溪","121.757397","24.819336","宜蘭縣","07","礁溪鄉","065"
"C0U910","冬山","121.7855","24.635528","宜蘭縣","07","冬山鄉","087"
"C0D650","湖口","121.035417","24.906556","新竹縣","10","湖口鄉","059"
"C0R380","枋寮","120.581611","22.371194","屏東縣","20","枋寮鄉","358"
"C0V630","茄萣","120.174583","22.908444","高雄市","05","茄萣區","286"
"C0G820","田尾","120.501389","23.903417","彰化縣","14","田尾鄉","167"
"C0R590","里港","120.486528","22.780972","屏東縣","20","里港鄉","295"
"C0A9E0","士林","121.494792","25.092031","臺北市","01","士林區","007"
"C0R480","長治","120.534611","22.694833","屏東縣","20","長治鄉","307"
"C0X300","鹿寮","120.469225","23.387811","臺南市","04","白河區","228"
"C0U970","大福","121.805683","24.802436","宜蘭縣","07","壯圍鄉","072"
"C0M750","布袋","120.159667","23.382611","嘉義縣","17","布袋鎮","225"
"C0D550","雪霸","121.107917","24.528722","新竹縣","10","五峰鄉","089"
"C0C630","大溪","121.256944","24.884722","桃園市","08","大溪區","060"
"C0I110","竹山","120.677778","23.764722","南投縣","13","竹山鎮","178"
"C0V370","古亭坑","120.393889","22.895","高雄市","05","田寮區","284"
"C0A540","四堵","121.737519","24.894394","新北市","06","坪林區","053"
"C0H950","中寮","120.758528","23.886278","南投縣","13","中寮鄉","159"
"C0R360","墾丁","120.794167","21.947778","屏東縣","20","恆春鎮","350"
"C0O960","崎頂","120.361194","22.961306","臺南市","04","龍崎區","273"
"C0AH10","永和","121.499889","25.013028","新北市","06","永和區","045"
"C0X210","白河","120.406328","23.349228","臺南市","04","白河區","228"
"C0D430","峨眉","121.009083","24.692389","新竹縣","10","峨眉鄉","083"
"C0AD30","蘆洲","121.464056","25.088528","新北市","06","蘆洲區","023"
"C0R240","來義","120.617056","22.529111","屏東縣","20","萬巒鄉","319"
"C0U960","翠峰湖","121.599858","24.51265","宜蘭縣","07","大同鄉","081"
"C0T9E0","大坑","121.573839","23.882433","花蓮縣","21","壽豐鄉","161"
